line	mccatmus	tridis	transkribus	correct
L001	ad celebrar faciendun me nan quocdtan an	ed eektran Javendan ni van quoadran em		ad celebrar faciendun me nan quocdtan an
L002	in hac Cagelle cun annua prestatone	in hae (apesla can annua prestadione		in hac Cagelle cun annua prestatone
L003	Le Traruns rercenaim sepmuaginta qui nque	Ebraran vertenaim Sepuaginta quinque		Le Traruns rercenaim sepmuaginta qui nque
L004	la pelluns celebranti ; et ordinaais facer	Vaschens cekebranta es ordinadis Jaçer		la pelluns celebranti ; et ordinaais facer
L005	des ad hure titulam nanne preteria	dos ad huno titulam - anno preserico		des ad hure titulam nanne preteria
L006	hhucusgy neys resedit, neyi oneri miharun	hul utg; neg retedit, neg oneri mittarien		hhucusgy neys resedit, neyi oneri miharun
L007	sabisfecit, termins d'uorui mensiai aut	Taasfeçce termino duorum mensium aus		sabisfecit, termins d'uorui mensiai aut
L008	retideat aut resigner otalan (agellanie	resideas aus retignet cotulum Capellanie		retideat aut resigner otalan (agellanie
L009	poena suspentions progosisa a Divinis,	epoena suspenhionis proponta à Diuinis		poena suspentions progosisa a Divinis,
L010	eacus Decresi execute D. Preposito Leren-	cuius Decresi enecuro . Breposito Turen		eacus Decresi execute D. Preposito Leren-
L011	rani demandatur.	gani demandatur.		rani demandatur.
L012	Pro Capella Sarts Sbrephani	tro apella Janto tephani		Pro Capella Sarts Sbrephani
L013	R. Alexander Francus titularis huins sapelle	I. Htexander Draneas titularis huiks Japrlle		R. Alexander Francus titularis huins sapelle
L014	carta fandates nen perseveret disorituere	iaxta gundaaonem perseuered disoriouer		carta fandates nen perseveret disorituere
L015	odia dad mixture Lauperious toe	modia deod mixture dauser ous toc		odia dad mixture Lauperious toe
L016	tiren	Treven		tiren
L017	Gani can intervencu tanen dt presenta	Rani cam interuentu sanen es gresensa		Gani can intervencu tanen dt presenta
L018	D. Prepons, neqi uelle mode dicta dus	Bregoio reqe ullo mode dicta dus		D. Prepons, neqi uelle mode dicta dus
L019	modia consignet epris hominibus sub poera	modia contigues ipsis hominibus suo goena		modia consignet epris hominibus sub poera
