line	mccatmus	tridis	transkribus	correct
L001	7. Gie. Vir crivelle La de dai punre +	dio bro craello la dedad pa		7. Gie. Vir crivelle La de dai punre +
L002	Vil Cilrier L voss je sen	Kw t vot 2		Vil Cilrier L voss je sen
L003	cnesse Lune&	reste dano4		cnesse Lune&
L004	jac^e d'reste prrree sert	Jac opue		jac^e d'reste prrree sert
L005	Lenn rio corl La dedai la soma dell Ind	Lhaconl la dedar la sone del d		Lenn rio corl La dedai la soma dell Ind
L006	1^r cone quisi vedel si pus m ura	Econe quino uedos li nuo anaa		1^r cone quisi vedel si pus m ura
L007	sua bele si mua mare ferittu.	lua la disua mano serita		sua bele si mua mare ferittu.
L008	6	6		6
L009	2	2		2
L010	I10	810		I10
L011	Aprech n'arco Il cont d'ell dix ai scusse	trelo uarco il conl del dixer scust		Aprech n'arco Il cont d'ell dix ai scusse
L012	vall. nee se foeran	dalnesJagna		vall. nee se foeran
L013	il lambrenane edebin del 3^o dl canoncé.	emenenano edebia del s dl canonie		il lambrenane edebin del 3^o dl canoncé.
L014	Sgr J sons	 sono		Sgr J sons
L015	Lane orete			Lane orete
L016	Ce il 5^e Let cavonicat ahias S'l Eeporere	dil se del canonicato auas d bitozero		Ce il 5^e Let cavonicat ahias S'l Eeporere
L017	tire det 1181 46   MG10	çice del02arano E mihio		tire det 1181 46   MG10
L018	sacme borren en pono quale e Me-e	ac boyron ingono quale eJu.Ro		sacme borren en pono quale e Me-e
L019	Bab	Pada		Bab
L020	epit q^r del soue canonicade planns 158	pil & del sor canonicado ylanno		epit q^r del soue canonicade planns 158
L021	Pancota lui ep mans. dl sa de vnsolee	 aneoa leunn mano dl lade ito he		Pancota lui ep mans. dl sa de vnsolee
L022	us me resa sr meute	u mmetra aeño sir hen		us me resa sr meute
L023	1			1
L024	60	60		60
L025	qvrs mue mo ent	uro migo mn  sig		qvrs mue mo ent
L026	AR			AR
L027	30			30
L028	3			3
