line	mccatmus	tridis	transkribus	correct
L001	30			30
L002	BernaoL of arvelles appellemes il apuells	Bernack anf druellas aprellenms Lareells		BernaoL of arvelles appellemes il apuells
L003	agulhe sacis faciet quetannis legaes annadis	aerdho satisgauat stannis legato annali		agulhe sacis faciet quetannis legaes annadis
L004	rnias misieun quaivor reliets à lavenrtis, " deus	enias mistarrim quatuor zeliets a lavoentis de		rnias misieun quaivor reliets à lavenrtis, " deus
L005	euis pre qui adiune effettion obligaiee gecie m	cuis Eve gen ad lane offertion oshuns petan		euis pre qui adiune effettion obligaiee gecie m
L006	unan terre appelliea il laists pusteenpore	encn tcre eprelierm elhuasto moempore		unan terre appelliea il laists pusteenpore
L007	ant eco, quo non soisfalt nt maicnisstatie	aat eto , opunon sacistalt ut piaccyattati		ant eco, quo non soisfalt nt maicnisstatie
L008	mis conttnt anndfntuirs ettannalin celeore	it constat annd Cutun est innatia elebr		mis conttnt anndfntuirs ettannalin celeore
L009	Ceuret quot intemi ssa sunt aioquin adsaere	Cauret qut intermista cunt aioouinadsaee		Ceuret quot intemi ssa sunt aioquin adsaere
L010	menta percipierra non adm aase, ecndie	menta perçizienda nonadonast ecaaliu		menta percipierra non adm aase, ecndie
L011	qvcis ge meticy axpaattne et qtan contia eun	susiyge mory cozaatio et etraon ontraeun		qvcis ge meticy axpaattne et qtan contia eun
L012	adeesupitisnene fund obligare apatu	ad eefussetimen gundi ooligari apatra		adeesupitisnene fund obligare apatu
L013	le lur nau um mnendionalis, je sepcen cusnals	etum nalueien mendionalis , et sepcentuonal		le lur nau um mnendionalis, je sepcen cusnals
L014	decens laqpeate conagnatise muniatur.	deent lasneatv conagratione muncatur.		decens laqpeate conagnatise muniatur.
L015	2			2
L016	Nlim l'acerar quod etlmpartte aqu loudi	Seim Tareven quod itt mpanets asnona		Nlim l'acerar quod etlmpartte aqu loudi
L017	murostsbiatne	muro sosccatar		murostsbiatne
L018	lenette mbonaspius accetun miarte.	tenesre inhonaspico, acetiammearte		lenette mbonaspius accetun miarte.
L019	meertisnat entre pellacrs muniinous.	meeitronah intw pelan to munmanes		meertisnat entre pellacrs muniinous.
L020	7			7
L021	la brumnaque, benedicre quoi est noverthan a	la bnunaque benchiets quod es morertaam		la brumnaque, benedicre quoi est noverthan a
L022	aquilsnare memtur vesta otlin contaventu	aguntonare micontio ruxta ostoun contauenta		aquilsnare memtur vesta otlin contaventu
