line	mccatmus	tridis	transkribus	correct
L001	delican urec exere propris ssbulit .	Jleecrey ellee caqee noprio ala		delican urec exere propris ssbulit .
L002	adenciine anni issq cis asignacefuere	Zenciome cnni i519. cijattignateue		adenciine anni issq cis asignacefuere
L003	accciain l' basserjulhia equuim credi	eceraori bastea pultras eenuonue		accciain l' basserjulhia equuim credi
L004	hm exepise diceu liblas ser mera	peen edequuse ticar libras ses nitia		hm exepise diceu liblas ser mera
L005	mensen prlue deporutrris elgends.	resem wluvre depwataris elvendt		mensen prlue deporutrris elgends.
L006	15			15
L007	Qui Jossape astilbonens Barvardus	Pi Je Dascen, estilborens Bemwn		Qui Jossape astilbonens Barvardus
L008	Sorraste Menrgo.	Lorreste Enas.		Sorraste Menrgo.
L009	Rercules de cibellis La blacor Vest poos	serrals te eibellig Santator Ooth rleod		Rercules de cibellis La blacor Vest poos
L010	aunoinge. Br. baalus haccrnus so	raraorus I Je. Baulas auatonus n		aunoinge. Br. baalus haccrnus so
L011	Loiserbliang pliois Parisge	otocoliare alebir Paretaa		Loiserbliang pliois Parisge
L012	F.0. Fasillus de Blaverd dab ra or Vellet	e Jamly de Blanta dastator sellit		F.0. Fasillus de Blaverd dab ra or Vellet
L013	detys Vancsi, que dec incertous deumas	Eleor Parisu qa oe iaceontores teimad		detys Vancsi, que dec incertous deumas
L014	erizere estene ments unius ffacri crs	exizcre . Ment menis uniacratuca		erizere estene ments unius ffacri crs
L015	. Mo AGeneut, pobent fesede de ae	no generda, nobent setete tocarve		. Mo AGeneut, pobent fesede de ae
L016	decimand h Meonnelltorecm pienda	deeimara tli te mnestitos ecn e deata		decimand h Meonnelltorecm pienda
L017	Ws antetoncliun lacesarence tempoie	o ante coreliun acerareqle temeore		Ws antetoncliun lacesarence tempoie
L018	Alexann terni celebray entanneini iss	Hexandri terng cetebrat susannsind		Alexann terni celebray entanneini iss
L019	mipist Nlud abasepidime Bcni qua	IllRitt Nun alias egitime obcers qua		mipist Nlud abasepidime Bcni qua
L020	me procédat Se Gencrals snmenirie	inde woeedat V genezal summasie		me procédat Se Gencrals snmenirie
