line	mccatmus	tridis	transkribus	correct
L001	lamiesrien	Smuttrien		lamiesrien
L002	6			6
L003	enlirian ide	aalen		enlirian ide
L004	pro ratione	no recon		pro ratione
L005	meux ar	cna		meux ar
L006	& paren	Ber		& paren
L007	oci Parix me	l Latiggen		oci Parix me
L008	nune			nune
L009	pd cocum herbidu ne murdm	sad Coran herbidu dve mar		pd cocum herbidu ne murdm
L010	nez si er rudetur orccta ceur	eg. Dei udetul recta		nez si er rudetur orccta ceur
L011	est bes marieré, ee catri quia louo	Eea meita le tata quia lo		est bes marieré, ee catri quia louo
L012	mmisinte en ealena est constitusii	enanli ca easena est constitu		mmisinte en ealena est constitusii
L013	et addrraber partious cla aditrer	es abbrabor partidus cleaditur		et addrraber partious cla aditrer
L014	mare, ec ab elia	naro ecas aua		mare, ec ab elia
L015	aili er versu	Kiliar versu		aili er versu
L016	qi idariun Prepositura muniere	si rid arium Lorepositurd munien		qi idariun Prepositura muniere
L017	estsape nira	estlape uina		estsape nira
L018	J'ampane lis Jurris est n finde	anparmlis Jurrif est vi funde		J'ampane lis Jurris est n finde
L019	exlisic aquibosen verhus, salire	ealika aquiloron versus salur		exlisic aquibosen verhus, salire
L020	"'disa naiier aguiberete	 dieta nauier. aquekora		"'disa naiier aguiberete
L021	⟦cins o liun cart vauuy et	hcuins opiun carca uaae		⟦cins o liun cart vauuy et
L022	n qle campamilé fint dud	ni quo campama juxe dua		n qle campamilé fint dud
L023	ccompard	campana		ccompard
L024	Gonus sy	Zois s		Gonus sy
L025	laytiuen oiente	oytece de orilace		laytiuen oiente
L026	ncrru	retra		ncrru
L027	vechuf, ni qua sant coqura, pronphant	çersus ni qua seses cogiera, monsuam		vechuf, ni qua sant coqura, pronphant
