line	mccatmus	tridis	transkribus	correct
L001	Pue prosnoes on sohicitudine curet ne natin	Ere protioes one toheitadine caree neiarn		Pue prosnoes on sohicitudine curet ne natin
L002	sorxnvs Aaplase qua primun excquat	Jomnus Aealaer quamprimum exequat		sorxnvs Aaplase qua primun excquat
L003	decretuo anni is uz que ille ⟦ qacenus	decretaon anniisz oud il ibltoor weacemus		decretuo anni is uz que ille ⟦ qacenus
L004	ibcher	Bctu		ibcher
L005	celles eramoret ne diluc decgnosaent	testes enumdiet ne dilue de aenotiatut		celles eramoret ne diluc decgnosaent
L006	pod ex monsereces bouis glen, ecaqui	sod eax vihaaeriecis bons elim , ecaguo		pod ex monsereces bouis glen, ecaqui
L007	busdam on annis demcrsis citra deima	basdam av annis deurns citrataima		busdam on annis demcrsis citra deima
L008	coleseonair inea meren, et conmeluni	cothigebnson enka morem, et conmetin		coleseonair inea meren, et conmeluni
L009	uen cotus cerridoris; qua mre moen	nem totrus terrctoriy; qua nre moen		uen cotus cerridoris; qua mre moen
L010	crget asquimn Botenum ee donc lo.	rrget ras quinum Bondinum ee donu lo.		crget asquimn Botenum ee donc lo.
L011	Lecure de Vanblis, ac Andream de Vin	Teaun de Vandlis, ac Andream Je Var		Lecure de Vanblis, ac Andream de Vin
L012	velis, quenm deecr, u nacsbtirnes laton	lolis , quorum dicta , et attestationes Sacin		velis, quenm deecr, u nacsbtirnes laton
L013	Jn em	nRem		Jn em
L014	aisuncpors enir ieerat ad. J. d.I	assunigor tnin mittat ad 2.S.I		aisuncpors enir ieerat ad. J. d.I
L015	nel ociaiibns qui jis perspectes, aeprop	zil meidihons qui vij perspectes, alpmos		nel ociaiibns qui jis perspectes, aeprop
L016	⟦ ques ete teritons deina ge-	terea qqur eatoto teritorio decima ge		⟦ ques ete teritons deina ge-
L017	sera uim percisitur, pstessores le ccurun	reratom rerciditar yMethores tittoran		sera uim percisitur, pstessores le ccurun
L018	peroran ad pesentimen deciena qre	renoram ad nestatinem deçina e		peroran ad pesentimen deciena qre
L019	Cdiete, exam eatrone ne pre cenpous.	drete eaam cationera sei censror		Cdiete, exam eatrone ne pre cenpous.
L020	sux			sux
L021	esgat sum mane acte etian eussere	cogat summane acute ceran euntem		esgat sum mane acte etian eussere
L022	metatrons.	dittatwm.		metatrons.
