line	mccatmus	tridis	transkribus	correct
L001	ns			ns
L002	Laberneclin alindligneun mans decent	ernccalum duid ligream mang Feiend		Laberneclin alindligneun mans decent
L003	qe farentun auroqj desuy concertur quod	eetabicatum auros desag concextum quod		qe farentun auroqj desuy concertur quod
L004	eclesie decrre it dignitsi respondent empa-	eeclesig decori ic distitati vespondent compa		eclesie decrre it dignitsi respondent empa-
L005	cocur prosanlte sairements sagale re per-	recar ero senit Saerements lugaterverer		cocur prosanlte sairements sagale re per-
L006	necurs assernands.	reow atterrard		necurs assernands.
L007	sononer omniun alorvon euletias citmim	Tononea omniam alsram euletiastomm		sononer omniun alorvon euletias citmim
L008	Dillad por avcir ne festoz concegend a n	 illad ay datro nefestos contegendam		Dillad por avcir ne festoz concegend a n
L009	addbeane:	atreant .		addbeane:
L010	Mlag. Pabloppoll a non da laut Cagrore	Mag Tnetyqillica uxor de Jaul Cagren		Mlag. Pabloppoll a non da laut Cagrore
L011	perteverce mredtiine qy veti g eurs Lacti	verseueret in reditione lij aotig eumdact		perteverce mredtiine qy veti g eurs Lacti
L012	sns me nclandi dleun proconiervatione	sab mini haidi Heum iro conseruatione		sns me nclandi dleun proconiervatione
L013	Campadis ante san sac. nee propterea sits-	lampads ante sandal . nel nonterea sela		Campadis ante san sac. nee propterea sits-
L014	Tares sun corpons xin omitene dleum pro	zues san corpons xisi omittint dleum no		Tares sun corpons xin omitene dleum pro
L015	endère proatit lampada convervands.	eadere nialia lameada oneraanda		endère proatit lampada convervands.
L016	l'appelle Bapeitenis quan memam gorciat.	Jaspella Saptastenis quam mimum grual		l'appelle Bapeitenis quan memam gorciat.
L017	et ineuis pareroutentre apenatar	etneing van eDonFenti apenatar		et ineuis pareroutentre apenatar
L018	fenel as a qua sacerdos baperdans lamer	Fenetal a qua tacerdos dastiden/ lumen		fenel as a qua sacerdos baperdans lamer
L019	recipiat	Hlipiat		recipiat
L020	Maonin euois saqelle, deprevut ier ne m'al	laum ipias Caprelle, depremat sta ee m ala		Maonin euois saqelle, deprevut ier ne m'al
L021	2			2
L022	gadre	rd		gadre
