line	mccatmus	tridis	transkribus	correct
L001	traudlr	r		traudlr
L002	Scelebnte	Tecehn		Scelebnte
L003	que pimes ebroemisatone jem poris celebre	ensmind ebsae risal da conporis ele		que pimes ebroemisatone jem poris celebre
L004	en vesteloses mesaz ad proscples esdraten	tosbradtaz ad nasuign		en vesteloses mesaz ad proscples esdraten
L005	biens plebrs arctubit et	as pei anotabit		biens plebrs arctubit et
L006	Seenceps prassatus R la pella ns et protempire lo	Deraceps natatus L. Carellanos elprotemr		Seenceps prassatus R la pella ns et protempire lo
L007	nageralet, nec agerabent procere, parait	daseraale necaqeiauent moçero a		nageralet, nec agerabent procere, parait
L008	osaf Heetios ac clerica ses lo, Jitre Icolares Sn sacrandté ct	gaDorlas alclerila seslos siae scotares Vacramdi		osaf Heetios ac clerica ses lo, Jitre Icolares Sn sacrandté ct
L009	⟧semeste	aca uer		⟧semeste
L010	clcbordbriat paranerte, mappeff pusifratera candélabre	elehaiia parementa , maynes ensifratoria candelal		clcbordbriat paranerte, mappeff pusifratera candélabre
L011	esecbit enors cles ala iptins tapellas. septan se percartir	erbat d broa alia iptias Capela . . senhan repercart		esecbit enors cles ala iptins tapellas. septan se percartir
L012	teius Jalhay	eius sesta		teius Jalhay
L013	e Mas sanpre assevaete insacrista, sen posite simal ce supales	uTar san ure asteruata insacrista sen posito simal cn supple		e Mas sanpre assevaete insacrista, sen posite simal ce supales
L014	Le segatez	gatez		Le segatez
L015	74	2		74
L016	2			2
L017	enseus Prapositaralz cicletse, relagertur exti pa	dasias prajositarely çiclelia , relaxertar 		enseus Prapositaralz cicletse, relagertur exti pa
L018	lapellane, et de & frat ince tarier.	anellano , et dehy frat inuetaris .		lapellane, et de & frat ince tarier.
L019	Qvotaxt in festo pansi potle martivt stey da mi	EuotiaE infesto pandi prollomar jius stenzan		Qvotaxt in festo pansi potle martivt stey da mi
L020	dierbhcembif ovset	die Eb reçeribr  daedet		dierbhcembif ovset
L021	cennoratis pauperebes ferelsass ad sonr camne	connocals paurens hereahaiad sonto cama		cennoratis pauperebes ferelsass ad sonr camne
L022	eledtes, desesraliseac dynis endcaty à M. Ard. pane	eledis designalis , al dynis cudicalos a R		eledtes, desesraliseac dynis endcaty à M. Ard. pane
L023	Ce resshasé. seu protempere à A l h. propettes prosfaait	herenhan , sen proteninore a Aln. praoss mostaa		Ce resshasé. seu protempere à A l h. propettes prosfaait
L024	4. Jte flex ander fronent Capellornent, et pri te m pors	ERRlexander hanens Canellaatas , el moemin		4. Jte flex ander fronent Capellornent, et pri te m pors
L025	Capellone de snbuet, dine delhi Chant capracists sa	Capello de slubuos , siue desuilaant suurada		Capellone de snbuet, dine delhi Chant capracists sa
L026	selsete pont resan.	releta prout restag		selsete pont resan.
L027	p'ar perbnjit ele dus masto dus pesturse, sroperd	pauperdinsiEeleR madadas desturte yeaier		p'ar perbnjit ele dus masto dus pesturse, sroperd
L028	⟦ues ens pns 	adennlulpris ne		⟦ues ens pns 
L029	Vrroyraplie a proifale Mn tais. rapeble,	Miromanja ajurgeralo as. seposito		Vrroyraplie a proifale Mn tais. rapeble,
L030	Respesn veroillet, podes ab hai jer ni tetatoie	Rezre luuero Mor nodios ab hresero ad solator		Respesn veroillet, podes ab hai jer ni tetatoie
L031	pent	s		pent
L032	eaus bupés delicet prpannis nos ct postelus de poures	lusyurdeheet prpannas noa edetes pretelu a nade		eaus bupés delicet prpannis nos ct postelus de poures
L033	Ceanellenil des de Anbuat esebie cenre nue it i	Eenellants dro de Muuat cne caneenlgarhe		Ceanellenil des de Anbuat esebie cenre nue it i
L034	ve altra du dtoubuen hamnsingui B	ia alera digo  onniende aano inonore e onea		ve altra du dtoubuen hamnsingui B
L035	alie fus sa juproctsle jescos qle plen je sesate	anadas A supradesio feslopeion y ellat		alie fus sa juproctsle jescos qle plen je sesate
L036	⟦use prresenly , trg pozine falures	al quehentie nozeatar		⟦use prresenly , trg pozine falures
L037	aiesgali  tebres felte supra ded abrit	atagoleedafesla supra des ab		aiesgali  tebres felte supra ded abrit
L038	6			6
L039	a ni patet	i		a ni patet
