line	mccatmus	tridis	transkribus	correct
L001	un que	in gas		un que
L002	tre ce	cure 		tre ce
L003	sus			sus
L004	speccantia	saeccancia		speccantia
L005	Derficiatien	Eerfcadan		Derficiatien
L006	&4			&4
L007	a roariole	armariole		a roariole
L008	sacculis	saccalis		sacculis
L009	20			20
L010	ve	reter		ve
L011	Oms			Oms
L012	E1			E1
L013	2			2
L014	ad har	ad her		ad har
L015	Ad	ra		Ad
L016	Cecter	Cect		Cecter
L017	ses	ser		ses
L018	treum nuccun et	cum auccam		treum nuccun et
L019	nuccis pro asteraendis calicions	nuceis pro atteraandis calcibn		nuccis pro asteraendis calicions
L020	deiens cum	decens cu		deiens cum
L021	goralibus et reliquis	Gordlibus et reliquis		goralibus et reliquis
L022	Leculou dierun festorun	DE calta dienmm festorum		Leculou dierun festorun
L023	Servctur Decrebut	Peraetur Deereon		Servctur Decrebut
L024	Synodi Droecesan	Tynodi Droecesan		Synodi Droecesan
L025	secande in onnibns et	Lecande in omnibus et		secande in onnibns et
L026	sublicat Procenisnes	publicat Lrocems nef		sublicat Procenisnes
L027	tri			tri
L028	Ge sertin	Esertim		Ge sertin
L029	Estime	ttim		Estime
L030	quo ad	9noa		quo ad
L031	Condlur Viber tercensun foli orun iunta execu	Conacur tiber tercenaim zolorum junta execa		Condlur Viber tercensun foli orun iunta execu
L032	tionem ciusmod.	hio nem liuimod		tionem ciusmod.
L033	Synodt intra mentiem in	Synodi intra mentem in		Synodt intra mentiem in
L034	quo servata Pforma preseripta noten-	quo seruata Pejorma grescripta noten		quo servata Pforma preseripta noten-
L035	tur nomira basbsabrum, Matrimonio iune	tur nomina bagaratorum Natrimonio iune		tur nomira basbsabrum, Matrimonio iune
L036	torun, son firmatorumn ce Defunetrr un	torum , Con firmarorum le Dezunedrrum		torun, son firmatorumn ce Defunetrr un
L037	nec non et pie consuetudines, dies fere	nec non es pig consuetudi nes dils seca		nec non et pie consuetudines, dies fere
L038	ex votr huins Popale	Ex aoto nmins Topal		ex votr huins Popale
L039	Fro Cecleia.	Tro tecktia.		Fro Cecleia.
L040	fici atur quamprimun fabrica hui nes	ficiatur quamprimum Zabriea nuin		fici atur quamprimun fabrica hui nes
