line	mccatmus	tridis	transkribus	correct
L001	Eat			Eat
L002	ois que lidrari missaceledartione homiser	ro gertimane pussa eleshatione aomie		ois que lidrari missaceledartione homiser
L003	rentani r6^or Anbresiscops petanit	Eren lani a6 Intreris was retan		rentani r6^or Anbresiscops petanit
L004	aéductose misanimn ue l'aliguis epti ouapeas	aeductiore mitarimues aliqui s taa		aéductose misanimn ue l'aliguis epti ouapeas
L005	u srvrad. relebratione el itenn donctuit	en intrad celehatisne ef interond valtuia		u srvrad. relebratione el itenn donctuit
L006	fiit enestrabies cion celecreher int snpra preis	rnt eredhiabns cedy ceteoreher nt intra pree		fiit enestrabies cion celecreher int snpra preis
L007	tum est apea quamprimum prourdeant de vone	tuan est erea quamgnnum avuiseant de cron		tum est apea quamprimum prourdeant de vone
L008	Capellani qui osien saliscailat grvery L'ompeur	Carellano qui onen satiicaclat quos Tomden		Capellani qui osien saliscailat grvery L'ompeur
L009	nbelliy Glerpus Ehlaris ensivereux alhuie	nbellig Gternfus Atntais entiorens ar rui		nbelliy Glerpus Ehlaris ensivereux alhuie
L010	nosi muuniaptanda qui iteres mhit su	ea uria scada qua interea manut l		nosi muuniaptanda qui iteres mhit su
L011	peruipentis nusts prib se igernt sus prene	serunertif ouillo Ractose ingerat nt tren		peruipentis nusts prib se igernt sus prene
L012	eomumbonr	Eolomuitor		eomumbonr
L013	FEntime	 Intun		FEntime
L014	uitai cur din apelle pogutis	reuiten cusder arede snont		uitai cur din apelle pogutis
L015	sannys distrtuantuir sur meltra uetire fai	annis arstnsuantor Tus mata mesurea		sannys distrtuantuir sur meltra uetire fai
L016	bus huis bu cerengane at quaptim gue	an munder erespana gaaitia su		bus huis bu cerengane at quaptim gue
L017	mest boenaton	meat ematon		mest boenaton
L018	Broidatier eten huis p pelle de sppellecte neves	brouideatier item duue sarelle de nrelleche neçe		Broidatier eten huis p pelle de sppellecte neves
L019	2			2
L020	amisscelehadste humphons fattononn	ar muReleehadoe dumituos pallonerita		amisscelehadste humphons fattononn
L021	néles pratitus cutesse.	alt ex ruhtrs cunden		néles pratitus cutesse.
L022	cncerdet cen oregénele ep	eerdas çad origeneli g		cncerdet cen oregénele ep
L023	B. Cancann Gprap^t ce vec. Ceor Quus la	. Caianuy presa el ree igor pu		B. Cancann Gprap^t ce vec. Ceor Quus la
L024	san			san
