line	mccatmus	tridis	transkribus	correct
L001	Veclety innee de brephoren ian appis ;	Ceelse nata deLacadonen en Aen		Veclety innee de brephoren ian appis ;
L002	facen greserann qui ad Celam Ceclers	Eacan cresoran guo ad Ggelan lecten		facen greserann qui ad Celam Ceclers
L003	et fronaspicium Nesnon lu	es Froncispicium Negabrlan		et fronaspicium Nesnon lu
L004	Care janvan Naioien fiat Lorbieus pro	dae ianvan Maionem fias Loabels gro		Care janvan Naioien fiat Lorbieus pro
L005	la chechismo in fantious ministran de	Lechechismo infantiores ministrando		la chechismo in fantious ministran de
L006	duabrs cslamais suffultun et suger ea	daabes cotumnis suffultum et suverea		duabrs cslamais suffultun et suger ea
L007	Picaurs agèr exprimanir effigres san-	liccure opere enprimacur effigie san		Picaurs agèr exprimanir effigres san-
L008	carun Ponr et Paule huins Ceslene	carum Len et Riub hiud lectend		carun Ponr et Paule huins Ceslene
L009	Pacordrann	Pacronoraon		Pacordrann
L010	fenessre, on nes lacerales cum primum nires	zenestre omnes laterales cum primum dire		fenessre, on nes lacerales cum primum nires
L011	Suppetent-vicir et retieulis eneit munianeux	Suppecens uitro et reticuls eneis muniana		Suppetent-vicir et retieulis eneit munianeux
L012	Secain leclene mendien vessus prope viri da-	Teccum leeleis meidiem uersas prope uirida		Secain leclene mendien vessus prope viri da-
L013	riam d Prepose per dus Trachia pro-	rium D. Preposito ber dus brachia pro		riam d Prepose per dus Trachia pro-
L014	trahabur ne plunie deudentes parieces	trakatur ne pluuig decidentes garietes		trahabur ne plunie deudentes parieces
L015	Ledant	ledana		Ledant
L016	d			d
L017	Segaleuri anté gradus Cagelle, maionis	Segulehri ante gradas Capellamaion		Segaleuri anté gradus Cagelle, maionis
L018	grandiascalis inscritatur sepaleren	grandiuscalis inserioatur Teputeran		grandiascalis inscritatur sepaleren
L019	derdotun.	veerdotum.		derdotun.
L020	ca seputera duplici intéqument operiantur	a tepulera duplici in tegumento operiantur		ca seputera duplici intéqument operiantur
