line	mccatmus	tridis	transkribus	correct
L001	Nooiz : praanis septen m'apiend	odig quaanis sencen matien		Nooiz : praanis septen m'apiend
L002	Aismes	dinbae		Aismes
L003	alannes irs.	Lana		alannes irs.
L004	Jeaus Dicaoras demnceis modiy ocr tlucis	lear Keaaar Zermerij motrig ourstati		Jeaus Dicaoras demnceis modiy ocr tlucis
L005	d Depositrris, et medris ousbus preporde	ODewitaris, ot gandrig tasour iepond		d Depositrris, et medris ousbus preporde
L006	et modiez duobrs PCoibelle debet.	ecig Luotis Pibello det		et modiez duobrs PCoibelle debet.
L007	Puviei M.e	CutuN		Puviei M.e
L008	Siculix	Freali		Siculix
L009	Aoli	lit		Aoli
L010				
L011	1e	2e		1e
L012	126	56		126
L013	m^o q  16-	n.4576		m^o q  16-
L014	Maxiend veanne i116.	Traziends veannd 1576		Maxiend veanne i116.
L015	J. Angolas docdectus debet pre campoquerse	1 . Angelas Lorledat deoet no campoquen		J. Angolas docdectus debet pre campoquerse
L016	être laborabat in gerensates pue annes	itte laborabat in Gerensaks w an o		être laborabat in gerensates pue annes
L017	il 17.	is77		il 17.
L018	melleme	rietliN		melleme
L019	Hcabl	Kilas		Hcabl
L020	Miti	Milij		Miti
L021	LHE Jezr	102		LHE Jezr
L022	m Pstb	m1.6.		m Pstb
L023	vmne sel.			vmne sel.
L024	Pruis 0. de foaide devet procamps cidemeteus	muy do . de Conits debet pro campo eddemveat		Pruis 0. de foaide devet procamps cidemeteus
L025	proane es gr Cif. ro.	nd anns 116ƒ . 36.		proane es gr Cif. ro.
L026	icen insanns isst rfcrq	icempno anns 1183		icen insanns isst rfcrq
L027	vannes prossus d. i l ostode Biellod ecbet	Crannes jrottul ? . il Nostsde Biellsteber		vannes prossus d. i l ostode Biellod ecbet
L028	forr	n		forr
