line	mccatmus	tridis	transkribus	correct
L001	Jernan	fox vZa.		Jernan
L002	axonicures duvis eulle pra paritevais et cov	ndriabs Jun ale veovea e en		axonicures duvis eulle pra paritevais et cov
L003	Part endé.	hec		Part endé.
L004	29 (r Rresosin Jeep. CS^re Lados, Md, arones ru a	E S L Bris Peef V. Kadn Fid mone mee		29 (r Rresosin Jeep. CS^re Lados, Md, arones ru a
L005	R LeBenarde ivrus Canon.	ELBererwir canr		R LeBenarde ivrus Canon.
L006	B2 Peerad. Eistenns (groé	LLeerad. rar. Dn		B2 Peerad. Eistenns (groé
L007	Hisdn. d dun ort . Jr. Paptre arri neque	LCaa dodud crar d . Iy. Bestetn wie		Hisdn. d dun ort . Jr. Paptre arri neque
L008	Fees Caronicatrs tesnetur a Pareiit, 9. Aubloix Carnte	aroucatas ndetar as areto I. En tori rt		Fees Caronicatrs tesnetur a Pareiit, 9. Aubloix Carnte
L009	Pt ox canomuit m Fendentes denent prgnls aro teluene demon	Rode canoma mn teidentes Renent Angulo ana tlala demn		Pt ox canomuit m Fendentes denent prgnls aro teluene demon
L010	hassem quergnqz Grntu suan Pallendat.. Presramations Ec^tt se	nnem quezardo Junes tuas salliendas prestamationt Ea		hassem quergnqz Grntu suan Pallendat.. Presramations Ec^tt se
L011	injore oninasion & S.M	uigox onrationit  I		injore oninasion & S.M
L012	nu			nu
L013	3. Caplen punietre jenr iise-	 Casllm Junosr cn ma		3. Caplen punietre jenr iise-
L014	talisne dans itse. fain, et admuc sehe issepre &l	talione dano is1a faltaEt adue an te ese 		talisne dans itse. fain, et admuc sehe issepre &l
L015	d ordinatiom satetam̃ Ides nt Mrade unbeur suie	Lenrationi tastaes Ideo ut Mo undeier Juil		d ordinatiom satetam̃ Ides nt Mrade unbeur suie
L016	ar e precensire sn aelmlons dils ordinatieny à ste plinon schet	ar e retenin emalimllem dil saatiomo a sna ia		ar e precensire sn aelmlons dils ordinatieny à ste plinon schet
L017	subt venantiène fain. Mtandant ll s Beponce, it	lu nentiono Jari Mandame   peonco		subt venantiène fain. Mtandant ll s Beponce, it
L018	a oi célegort a aen  un demevit eportunn ont Rartss	aoeqe de legena a adalaa umos demeie eoluma oe diia		a oi célegort a aen  un demevit eportunn ont Rartss
L019	cobiur et pr cmfante u tan ecmn iena	ligar es s nrenat ilsin anna tadenia		cobiur et pr cmfante u tan ecmn iena
L020	 qe gendani saver at Comil rendet a aftresnẽ sou	quia quidam desçeres de Comias Elualt ad asfemo pn		 qe gendani saver at Comil rendet a aftresnẽ sou
L021	deda ten pernr imins ve v. commanc na camis ela	leia ten peina muns ee Jconoman neiamus 		deda ten pernr imins ve v. commanc na camis ela
