line	mccatmus	tridis	transkribus	correct
L001	Notta Lelle cocrentie, et lurcli sopsa igeal si cegi su	otra delle cocrentie , es luocli sema igeal a cosa		Notta Lelle cocrentie, et lurcli sopsa igeal si cegi su
L002	des canonicats d	dol canonicato		des canonicats d
L003	Si decimne	S Lecima		Si decimne
L004	pre dessarde caine cavrorns nella esiend. Ve	pre besraido camo caronuo nella chiend		pre dessarde caine cavrorns nella esiend. Ve
L005	it LX	L2		it LX
L006	dil resns			dil resns
L007	Jare	Tano		Jare
L008	traseuns n 13	trastens qus		traseuns n 13
L009	e Cit	Csit		e Cit
L010	jee delli	leste dell		jee delli
L011	Gorcay			Gorcay
L012	Rene	I11		Rene
L013	e caun delle	ecaua Lel		e caun delle
L014	le Juun qv.2	Jen 41		le Juun qv.2
L015	nel rense de Gerenpine	rel 422 L GerenJan		nel rense de Gerenpine
L016	Re Lone	e Lone		Re Lone
L017	40			40
L018	Lice a Marnasche	lico a Marnal		Lice a Marnasche
L019	co Je un pep	to yun Jeso		co Je un pep
L020	et Palor pep de decinin à Vit	C4130 peso E. decrmae		et Palor pep de decinin à Vit
L021	C			C
L022	175	25		175
L023	Heb ter de Gointne poi	aeten di Gesenaoad		Heb ter de Gointne poi
L024	dili mari tilfedtoni	amariaiFdo		dili mari tilfedtoni
L025	Le+	to		Le+
L026	Caposiee	Tanoines		Caposiee
L027	4			4
L028	5			5
L029	un p varsttie  11	ia Yestal		un p varsttie  11
L030	et je se caudrane	et eze cauta		et je se caudrane
L031	Vartee de			Vartee de
L032	2			2
