line	mccatmus	tridis	transkribus	correct
L001	2			2
L002	seuiura, quord	senrurto , quor		seuiura, quord
L003	meserce demaniguon	asente deçionaipa		meserce demaniguon
L004	olle gant peregrirene, erlibrait, phogyue 	oMhisaat rerepianene esibuereo		olle gant peregrirene, erlibrait, phogyue 
L005	ameber- in de quimd ollictione som	ensbes on  geimd wleetisne te n		ameber- in de quimd ollictione som
L006	audant pins cacsmmanicationis pr-	lendans senas ca comonaicaçionisno		audant pins cacsmmanicationis pr-
L007	posta rdillom Ebere cux. jpr relill.	ta ya illaon lbere cen poiquelil		posta rdillom Ebere cux. jpr relill.
L008	cui desure specabit exigerdun Dimidtal	cuideure epeccabit erigenda n tinita		cui desure specabit exigerdun Dimidtal
L009	acecrion déolapte cerpeses adsueramete	eceljen dalarto tertiotos adlacramit		acecrion déolapte cerpeses adsueramete
L010	eulesic nnonctuan	culera von imdarca		eulesic nnonctuan
L011	⟧vo sacsvux Baconur que depoi ti nomine.	Eve . acovr Baromus qui deot tinomine		⟧vo sacsvux Baconur que depoi ti nomine.
L012	abe penesse fucoy tieure aivivrum	abechenes te Gets trium anowrum		abe penesse fucoy tieure aivivrum
L013	Ne cater nacanos eb attecucisvien ale orns	ca racantis oballecutionen alcoruus		Ne cater nacanos eb attecucisvien ale orns
L014	benefi eutesatoie gbri p. Bapte B-le Je-	denesiies clesiastico pbnJo Rapts Relo le		benefi eutesatoie gbri p. Bapte B-le Je-
L015	2			2
L016	de dt m illisq ueme ec numediate pesses	de smiellisy ulleini e u mediat totles		de dt m illisq ueme ec numediate pesses
L017	foid, quisiont motia due decen Pavrion	ods quihort motia Quo decemoetrio		foid, quisiont motia due decen Pavrion
L018	u cix hicni, lue Mllis, et serticlais	elJ. tiatitia, tiva Mill ec terhcla		u cix hicni, lue Mllis, et serticlais
L019	coster puetus meu menien prluat reps-	costemquetas intra mealem e Muat rero		coster puetus meu menien prluat reps-
L020	Jeans mes el gente a loquea n cendiets	Lixis infraeligento aloyun ncerdiet		Jeans mes el gente a loquea n cendiets
L021	est afficiatnr.	en afficiatas		est afficiatnr.
L022	1d. Ambrotns Dalous cant alipe gainq	. Ambrotins Da lous can aligice guisug		1d. Ambrotns Dalous cant alipe gainq
