line	mccatmus	tridis	transkribus	correct
L001	gare ny an	Jaenza		gare ny an
L002	2.	2		2.
L003	Morare aro Cominale ced	Verasca woComunale vedt		Morare aro Cominale ced
L004	saste de se rdstiene delle capotte	ostedSinoshene dala Capol		saste de se rdstiene delle capotte
L005	de C^r Plefans dotute &a guete	LC Elotrno dotata En qu		de C^r Plefans dotute &a guete
L006	crcera dat qel. Orovanni crine	ciesa val 4o G Gronanni cinue		crcera dat qel. Orovanni crine
L007	de dicre beni derrit eize	le ciert Geni dezuiti ar		de dicre beni derrit eize
L008	fondinone	fond stone		fondinone
L009	o li obligr e	loaoden		o li obligr e
L010	pivou pifo tioe	Jckea Jufr c0e		pivou pifo tioe
L011	Cre atta deta copella, ivere	Cre alla olta Crpella anesa		Cre atta deta copella, ivere
L012	da ansteu nelle dmnini offrig	asistre nelli t im offnig		da ansteu nelle dmnini offrig
L013	uns ple Capeltano Jlenee, ce	uno le Capellano Jdanes te		uns ple Capeltano Jlenee, ce
L014	messe	aess		messe
L015	cre hivese da Colebeur qu'ot	e hueze va Celebu 7uo		cre hivese da Colebeur qu'ot
L016	namententfar ons anmuas	usmente Ifer uno annua		namententfar ons anmuas
L017	dlmene d messe cey lan pais	atmeno  messe x7 I ono fer		dlmene d messe cey lan pais
L018	mente co la louate candeie	mente coba lesa te Cunolo		mente co la louate candeie
L019	sellus ces neceshire ye Ce	Hale cos nelesavie 		sellus ces neceshire ye Ce
L020	obligs de destoideir e demome	Ebligo di destoibeur n eleniosia		obligs de destoideir e demome
L021	Mceppia z pane de For	osgra - naue a 		Mceppia z pane de For
L022	cne ppelummente dlte pouer	mo ypeluamente dlle potien		cne ppelummente dlte pouer
L023	verenane Ye come t len	JelEnno come e		verenane Ye come t len
L024	nes pujtie de setta fon a	ne Juso d desta fon		nes pujtie de setta fon a
L025	Jatome	Aton		Jatome
L026	dota ogare e ne qu jes	dota 1090o J Mij 710 H		dota ogare e ne qu jes
