line	mccatmus	tridis	transkribus	correct
L001	4			4
L002	prohagulonodio, que 21.modia ni cortere sho	tro kagalomodio qus 25. modia til corberetn		prohagulonodio, que 21.modia ni cortere sho
L003	⟧⟦t aperdud a Odicran himmne et. 7ist intor	et auendud al Ediegan uana as Zientot		⟧⟦t aperdud a Odicran himmne et. 7ist intor
L004	pre sirulenice leunoensiout ils lt.10, que	ro agutabeco dannoaaoad Lo6C0 qu		pre sirulenice leunoensiout ils lt.10, que
L005	au cdid sic ceremalee esce ndut rentme bbiai	uaded sieesemata exendio andln		au cdid sic ceremalee esce ndut rentme bbiai
L006	donorbied e	s abret		donorbied e
L007	⟦at rerj cbu aiba	Dul vorgg eebrig Bartua		⟦at rerj cbu aiba
L008	lussez ain avdcs partout, et de du Plyr de du esdige	unes atgo andelos paarlbus e de dusliy deduçend		lussez ain avdcs partout, et de du Plyr de du esdige
L009	sisit quidendy, ac unfiderals consdesandly	uisis que leidendr , al consideraly cont deran		sisit quidendy, ac unfiderals consdesandly
L010	Vre l'cxéris 6 Janeis Xdte sioné Euodeune anns	te bereris osanin a delone luo deçena anno		Vre l'cxéris 6 Janeis Xdte sioné Euodeune anns
L011	Parnatenr dev./.c. ibrp Prapatis reullue dite	acarnalen dy Je ibis Prortatus seulda		Parnatenr dev./.c. ibrp Prapatis reullue dite
L012	Caleas car satuada Rrapohens ⟦elegi ete  prise	uias alar aluada braros lusaleqiata tsn		Caleas car satuada Rrapohens ⟦elegi ete  prise
L013	bicas dof Seraretf ale Delegatrs de clarat, ontre	Vicartot Teranent al Delegatas declarat, ontr		bicas dof Seraretf ale Delegatrs de clarat, ontre
L014	et promulgut, ac déclaraciet, etclralet, e prosnds	et promulgat al declaraçit ordnelat , d nomnd		et promulgut, ac déclaraciet, etclralet, e prosnds
L015	gaint prout enfre ndetret	halut oad inr a delee		gaint prout enfre ndetret
L016	quod. proitates  P terander onners, Capelei	quod proelalo de d Rlezander uners caia		quod. proitates  P terander onners, Capelei
L017	Eetulais (S.steplas en proepor sura lzérectac, qlebre panli	itulan . steman sa rienos jura l herenhar que leb tana		Eetulais (S.steplas en proepor sura lzérectac, qlebre panli
L018	v celebruse tereat ad profeter altare J. seslase. vay	çelebrare tercal ad prafelos actare s. sertan ta		v celebruse tereat ad profeter altare J. seslase. vay
L019				
L020	debus hen res et lestis poat erdnaire fuit épnd	Recas beera cresas nuso at dadtaou fuit asen		debus hen res et lestis poat erdnaire fuit épnd
L021	Carolo ex narreto odhatère produle servande	Carolo ca nareato oranalore prodadlo leruando		Carolo ex narreto odhatère produle servande
L022	⟧'admplende queque s'ites centretar, et urvance	Padrnintendo quequid Aea contaetas  et nroana		⟧'admplende queque s'ites centretar, et urvance
L023	2			2
L024	Noe dentroelif. deddtaid ruus Capelle dsa Catte tae d 	R enhoele. reddelard dcas Capella lauade daa		Noe dentroelif. deddtaid ruus Capelle dsa Catte tae d 
L025	ce edvate mplez elfro upraddos des lesunos tereat eie celebret	se qdrata iyoz qlro suuradellos des restinos tereat elia celebn		ce edvate mplez elfro upraddos des lesunos tereat eie celebret
L026	celebreltt a	ielediet fot ana		celebreltt a
L027	eEtet n epencte	ecytalia eptalto		eEtet n epencte
L028	le jiagnto et domad	Esugula eodoma		le jiagnto et domad
L029	Mhsas pegee a un djaperientus ae celeoia ca	lihas qoe aanesapanesabas ad ieborata		Mhsas pegee a un djaperientus ae celeoia ca
L030	restas alrampit le mel	rosses a Gra luia le mel		restas alrampit le mel
L031	déeta	d cca		déeta
L032	4			4
