line	mccatmus	tridis	transkribus	correct
L001	Epea Lessra ua terra doua Sa maldas	Epia lessra una terra aetra la naldar		Epea Lessra ua terra doua Sa maldas
L002	54.			54.
L003	cocrencia de due parte Pade	Cocrençia de due parte Cada		cocrencia de due parte Pade
L004	J.40radi de boselli carnelle	berle de bosolli carnel		J.40radi de boselli carnelle
L005	de Patps	della		de Patps
L006	1			1
L007	V'grodi deS C. Brac. fagre	Eradi dis ea biageio fagi		V'grodi deS C. Brac. fagre
L008	Epra pefia Una toira decta la roscicda	Ebra pesia Cona trira decra la roscicda		Epra pefia Una toira decta la roscicda
L009	Tal	al		Tal
L010	crocrenae de cluc pr strads d'atta gr A	Ehocrençie de dlue pra stada datoa er		crocrenae de cluc pr strads d'atta gr A
L011	l'Endi della le	redi della e		l'Endi della le
L012	oniche pisesont et	Mloniesa yiseson er		oniche pisesont et
L013	dell'elrre ple l'heredi di n	aell eltra parte  heredi di		dell'elrre ple l'heredi di n
L014	du Schent	li Chor		du Schent
L015	Aaigs	Aigs		Aaigs
L016	fie pesfia Una corra detaal 6. Ano	pie pesia una rra desta al er Mmo		fie pesfia Una corra detaal 6. Ano
L017	cocsustia d'una pr Craba	Gorruntia dona pe çrada		cocsustia d'una pr Craba
L018	Una 42	una p		Una 42
L019	l'herdi di me giag. Ars. crivelte, daett	medi di nueso Giac Ent criuello del		l'herdi di me giag. Ars. crivelte, daett
L020	afre parte il 6	clre parte il6		afre parte il 6
L021	Crag. da fagre	braqçia lagro		Crag. da fagre
L022	Eifri pelfia na berra detta sa Caletta	Epue pesia ona terra desta ca valetta		Eifri pelfia na berra detta sa Caletta
L023	cotorertia il C.	Colprertia ilG		cotorertia il C.
L024	Aape	Ra		Aape
L025	à mane, bell'alna fle	a maae dell altra 		à mane, bell'alna fle
L026	Mlloncesa bischent	llonçesa vicron		Mlloncesa bischent
L027	D. aboce	 as oce		D. aboce
L028	Ce lattra pr. Grado	eel altra pi eraao		Ce lattra pr. Grado
L029	lafaes tarni	lafael fa		lafaes tarni
L030	Nrdi deltad	hercor della		Nrdi deltad
L031	deriie dell'attoot	esidie dell alt		deriie dell'attoot
L032	(. Grag,d&	G biag		(. Grag,d&
L033	blu pollie bra di terra deta m benze	bra palia bna de terra della mi teny		blu pollie bra di terra deta m benze
L034	cotsrch il C. quot datre	consreni el Ge qu det		cotsrch il C. quot datre
L035	FL			FL
L036	CeSighoni	Cehigon		CeSighoni
L037	de due parte 'crodi ou Me frane.	de que parse untor a An . Frare		de due parte 'crodi ou Me frane.
L038	Crivello dell'alte	yuello aan alta		Crivello dell'alte
L039	Ce			Ce
L040	Pate	Cale		Pate
L041	8			8
