line	mccatmus	tridis	transkribus	correct
L001	est alla cieco	a		est alla cieco
L002	varie tommnes sacia opsee	lares Jovonce Jacia o		varie tommnes sacia opsee
L003	reshsde delegenze di mroun	Cyole delegenzatera		reshsde delegenze di mroun
L004	siht mu prond la fondatione au clota di	 Jum la fondahone anote de		siht mu prond la fondatione au clota di
L005	ru brehun morntrr	ie Tabhan monite.		ru brehun morntrr
L006	aur yage	AI1		aur yage
L007	mveta chera, o d'hmeno facca	agra cresa alneuo frua		mveta chera, o d'hmeno facca
L008	vrrmnair ycesso Informertine Qu Diffiian	nas Eedso En formahuo n Pifficar		vrrmnair ycesso Informertine Qu Diffiian
L009	ADant.	PBant		ADant.
L010	geot	7204		geot
L011	la eta messa	a dtta quccha		la eta messa
L012	na diccablego y	ra didbugo 77		na diccablego y
L013	no v'dmstione come es	o2emotone come s		no v'dmstione come es
L014	Seiede allegano, On + guiefle	redi Megrno Or 7 jorero		Seiede allegano, On + guiefle
L015	eette& aubliez mmile on	Dette 5 pusee mitev		eette& aubliez mmile on
L016	na mondonra en trute	a monloria Er Eito		na mondonra en trute
L017	quelle	uelle		quelle
L018	Qutommabe si sure 	Jufenntate GC4 1uvc		Qutommabe si sure 
L019	Eformissioni e posecins Inier	Enfornuationi 5 petiino Tier		Eformissioni e posecins Inier
L020	a mandmne subrle nect uet	manamo substo all 1t		a mandmne subrle nect uet
L021	fesa?	Tita		fesa?
L022	et			et
