line	mccatmus	tridis	transkribus	correct
L001	Celebratio	Cebrao		Celebratio
L002	" Dinne po sussse	Sumspo- Juitse		" Dinne po sussse
L003	tosta macon	Lorta macon		tosta macon
L004	sxese	L zed		sxese
L005	pousspici et aba porta en	Goarogun it gha zocta e		pousspici et aba porta en
L006	be lu enhsperes savis septintironcte	be catesprus nams septee		be lu enhsperes savis septintironcte
L007	se rootue est a fiurte s'eptontirone	C zosn est a pucte Terterten		se rootue est a fiurte s'eptontirone
L008	pe ui rtir alia aptiira epuir ca	e a soctia ana afma u a		pe ui rtir alia aptiira epuir ca
L009	et snvi alfnes naie	In vo aefrus naui		et snvi alfnes naie
L010	mestre queter y que la muii	resee gaohier gaane Ca t		mestre queter y que la muii
L011	lostibur et Rloncequis et panive	Lesterbus et Croiegnes & paii		lostibur et Rloncequis et panive
L012	Bue dhz cmules fueshre enns	Due die Emulls westie Bur		Bue dhz cmules fueshre enns
L013	Ju manete fronagnicy naurs	ter fwicte Gyowhyny naud		Ju manete fronagnicy naurs
L014	mesre aba huiler fuchra es	ueore alla malis mes vae		mesre aba huiler fuchra es
L015	Qu parera hhonheeu naves	Iu ravlele frankepples naues		Qu parera hhonheeu naves
L016	lepteaveena fs	Jerstentvcenar		lepteaveena fs
L017	etmie alee paules fmezhe Ein	bue ale mules tuestr Tn		etmie alee paules fmezhe Ein
L018	vptere nrcrnale en epre	rdenete gopteroman 		vptere nrcrnale en epre
L019	⟧plmi uu	dtulk		⟧plmi uu
L020	19			19
L021	auis aote	l		auis aote
L022	vuis tintieres et cerpees	al atoes 		vuis tintieres et cerpees
L023	vete.	rete		vete.
L024	Saint abcop	nt cobr		Saint abcop
L025	cet			cet
L026	je cewber 66	ecener 2		je cewber 66
