line	mccatmus	tridis	transkribus	correct
L001	dBrain	el Braa		dBrain
L002	que Maria du	on aila t		que Maria du
L003	Md	j		Md
L004	pparon sux su	rant		pparon sux su
L005	clacit que cas	otut guota		clacit que cas
L006	2			2
L007	ristarae es techat	ar e		ristarae es techat
L008	alesge alègrie arene	B		alesge alègrie arene
L009	caterra appreliate	ea		caterra appreliate
L010	Scanvodele-ne, ui echer a dux bns	Lco d mielcher enduaen		Scanvodele-ne, ui echer a dux bns
L011	partibur magi a lathaci, pecupio	gallidemeLathac ent		partibur magi a lathaci, pecupio
L012	 alia d. Farde Phlippi Dote  omitu	l alia d. Jaca Deligi din comitn		 alia d. Farde Phlippi Dote  omitu
L013	dy ex arciqua consuetdint	dy or anerqua confueline		dy ex arciqua consuetdint
L014	Pauliaur Duluis appetlaenr 1I Duia	Laukinus Siulins appihace 1 Tuie		Pauliaur Duluis appetlaenr 1I Duia
L015	habicaior srai lastri svluis que carni	habieator  iki lasti souit quoterni		habicaior srai lastri svluis que carni
L016	deus Propositurt soli der rignet	Lucis Propositura Sli dor niendt		deus Propositurt soli der rignet
L017	absz aligns onirie Jup.	sbig. aligs oma hug		absz aligns onirie Jup.
L018	lgq. dui jaspar ce jor tucrniy de	lles dri Jatpar ce o. Encinun l		lgq. dui jaspar ce jor tucrniy de
L019	moneois habitacons sarbonati solune	lorecis habitators arborati Lomar		moneois habitacons sarbonati solune
L020	la	l		la
L021	quocanner sol 20.26. d^t fres	quotanne tol 10 . 86. T. Tres		quocanner sol 20.26. d^t fres
L022	absy ale qus orer sug.	abtg. aleguo oren tag		absy ale qus orer sug.
L023	1			1
L024	Mares Laulauij habre, file laghi soluir	Fan Laulanj habie itnlagti tolent		Mares Laulauij habre, file laghi soluir
L025	quecano, diti Preposieura sol	quotarn, delta Prarositura		quecano, diti Preposieura sol
L026	vodecim absg. alque oxen lup	undecim absg . alquo oren tuz		vodecim absg. alque oxen lup
