line	mccatmus	tridis	transkribus	correct
L001	filat	a		filat
L002	arr prbi	ann end		arr prbi
L003	1.			1.
L004	dcq lud Ease	ad		dcq lud Ease
L005	aide y	edo		aide y
L006	menes ab	Cuenra		menes ab
L007	ci qichive de aune in arné	acnne de aanoin aaa		ci qichive de aune in arné
L008	lasi factiond no Prond deccu	artudord nodend tn		lasi factiond no Prond deccu
L009	ápellanie no de soroubord	aselladu nd desonontond		ápellanie no de soroubord
L010	relsfadion prpalerz modet ne gulutet eto	selefadn pefalios madoz eluter		relsfadion prpalerz modet ne gulutet eto
L011	Madaltro dectifuiione duen mole serendr	radalo ellaseona duos mala en		Madaltro dectifuiione duen mole serendr
L012	de decimenoratins desesder duplier	tiaecamenoraten defrda duplur		de decimenoratins desesder duplier
L013	tesd deslilale dn festes ctepere, asgadmpade	ao deselalo desesos Reradi etgadumed		tesd deslilale dn festes ctepere, asgadmpade
L014	ertegà Caelsutene teros mpis cuit qque⟧	legra lelshono so eomar cual		ertegà Caelsutene teros mpis cuit qque⟧
L015	dela tals frende acde asitedde encepatur	uloreadoiadaantadlo inoenat		dela tals frende acde asitedde encepatur
L016	oc cans prasexi sa Ran quesp	ecane praseal fahoa mrjaoe		oc cans prasexi sa Ran quesp
L017	ehe drigtrey sap	esaadesaa		ehe drigtrey sap
L018	Col	Co		Col
L019	Serdis qComunitatz et pauperre varpez Sererd su	siads -comuitals , e pauiero pras soren		Serdis qComunitatz et pauperre varpez Sererd su
L020	cafre qindecin des propine futurof idesear.	ira qundeçin dees proxime futuros idorea		cafre qindecin des propine futurof idesear.
L021	antiere pastet de volue des detis modit cee coluts	cealieno prastet de soluedos declis modiys as tolul		antiere pastet de volue des detis modit cee coluts
L022	termny jupradsts profieir eubrefadtiene	terniay supradisrs prasixis lubretedione		termny jupradsts profieir eubrefadtiene
L023	dounen et expettuz casre des termeit ne toluan	damners et expersaz catu dis teriert aohen		dounen et expettuz casre des termeit ne toluan
L024	et due ensa nie décbrate, ccordnate preepalu	el ae ouna sie declarato elordnato prortala		et due ensa nie décbrate, ccordnate preepalu
L025	R. Capellenes execaten de nalere cerestu	ECapellarns executon de madare eneatu		R. Capellenes execaten de nalere cerestu
L026	mode, et fermo atsapro subpoere snspesteu	miodo elferma at suaro subnaena susrenlen		mode, et fermo atsapro subpoere snspesteu
L027	ton Gerplas	Con Geropian		ton Gerplas
L028	2			2
L029	24			24
L030	Agine	D4in		Agine
L031	e			e
L032	18.D.9	2. T.		18.D.9
L033	e prot	at rot		e prot
L034	rete			rete
L035	⟦etour			⟦etour
L036	e sentit decem appliardes pouverd	senter decem annlcandoz kauner		e sentit decem appliardes pouverd
L037	neu	Fene		neu
L038	Et			Et
L039	Gariée	aner		Gariée
L040	d			d
L041	vite	rre		vite
L042	D			D
L043	HogrACarcd.			HogrACarcd.
L044	uulgan, ac de s csto Fe isfratirite	ulgaa al de nçirta Je erasent		uulgan, ac de s csto Fe isfratirite
L045	De	d		De
L046	 Caxcetlare Cerm pate M Xs. II	Tarcelaadlezem L 		 Caxcetlare Cerm pate M Xs. II
L047	founer le da fhesat, et abipte met acoidit	foraneo leca faenat chabirlo met a		founer le da fhesat, et abipte met acoidit
L048	l'ignata, el de mandate psins  ⟦i	ignata el de nandelo , ias aet		l'ignata, el de mandate psins  ⟦i
L049	publcafora. Et inabauaturs epti	enotra poria . seaenaa		publcafora. Et inabauaturs epti
L050	de	Go		de
L051	v	aeta		v
L052	⟦			⟦
L053	1			1
L054	Aotry nu. 1	dibiy 		Aotry nu. 1
L055	Bafoe sattarde Carabe.	pasoa aango Jarabo		Bafoe sattarde Carabe.
L056	Masrbi	Rarti		Masrbi
