line	mccatmus	tridis	transkribus	correct
L001	1.			1.
L002	paare ferancs a Hipars arocurid La	end cranls Actsars uorida		paare ferancs a Hipars arocurid La
L003	d'aente d quarse Le eprene, et facea eux	as a mano Kesiene le taca 		d'aente d quarse Le eprene, et facea eux
L004	ce tra mente det segatans. Ai braise	haxente Lel cartano . i Mil2i		ce tra mente det segatans. Ai braise
L005	bleraus Aicardu / Frov.	Heris Hilcardu V200		bleraus Aicardu / Frov.
L006	Dn			Dn
L007	D			D
L008	N			N
L009	Md			Md
L010	10			10
L011	RCA			RCA
L012	3			3
L013	ER.			ER.
