line	mccatmus	tridis	transkribus	correct
L001	la couineni, a	Ia corurene		la couineni, a
L002	2			2
L003	tn boon &	n vor		tn boon &
L004	Da mndar ogen mno	Dr min oofen mo		Da mndar ogen mno
L005	cenar mu	eena- n		cenar mu
L006	Nervai	Cernar		Nervai
L007	mendini coé	Seehidme Coe		mendini coé
L008	es.	6		es.
L009	Marea Mons	Harea No		Marea Mons
L010	De mdar at. Maria de St Rocto	Di aidas als Marra de5 . Rocto		De mdar at. Maria de St Rocto
L011	son la dive di come	sos a diec .Como		son la dive di come
L012	d andet ons giorne equi mno	Dandel cono giorno aqui mo		d andet ons giorne equi mno
L013	perssons lour le Incorne slla	pcemonalrurte Intorno alla		perssons lour le Incorne slla
L014	Campagne de gorenzan cà il	Campagna du govenzano co1		Campagne de gorenzan cà il
L015	Eelostre dit passier acesse	o6wo dit pasto acesso		Eelostre dit passier acesse
