line	mccatmus	tridis	transkribus	correct
L001	15			15
L002	eperiantur in ordisationion Preati, arohu de an	ereriuntur in ordinatienien Reat arstu de a		eperiantur in ordisationion Preati, arohu de an
L003	1383 gre Epositusali	553 ero Eoaturel		1383 gre Epositusali
L004	jeqe n'ou bror.	enenanrorn		jeqe n'ou bror.
L005	rcremvarc adsse Leceta	erengant acke teaata		rcremvarc adsse Leceta
L006	tentares 5t athasira curent ad hoe altare mivas	ctares sal harina curent ad noe altare mila		tentares 5t athasira curent ad hoe altare mivas
L007	alignande celorran	angaanas celosrari		alignande celorran
L008	fors et haitenus febecuisse	ro ut nartenus al l uite		fors et haitenus febecuisse
L009	compertun ett quaps facile possent exéleemet	compertum it guaka aeite fokent xeteemit		compertun ett quaps facile possent exéleemet
L010	ny en sapellane Attan J. Stephand gureree	n en Japellans Attan P. Heshani Hreto		ny en sapellane Attan J. Stephand gureree
L011	convenire ent mistas aligus cer romire rha	loareniresit mista aliquas cor nomure aha		convenire ent mistas aligus cer romire rha
L012	allae in etdoma da celébient augendrsie me	attere in tebdomava cetebrent angentodeven		allae in etdoma da celébient augendrsie me
L013	cetin cun rettitrs diita capette s 'bsephin	een cnmretiars dicta capette sbrepta		cetin cun rettitrs diita capette s 'bsephin
L014	non sufcant pro mitta quetd re celebrante	non sufuant no milla quetidie celebrant		non sufcant pro mitta quetd re celebrante
L015	tar ddetin	tare Rero		tar ddetin
L016	ppella S eptin in panete suitentale mntont	rella S. Gephanira panete uiental nen		ppella S eptin in panete suitentale mntont
L017	paux retiimnits pibsens bur lesmuabur	nauy erieiuna zistens tota tesuatar		paux retiimnits pibsens bur lesmuabur
L018	inin m'atena memiat prs fapnen t sapelle	uun natena ienuat slo lafnca aaet		inin m'atena memiat prs fapnen t sapelle
L019	J leson caxsublatcorshureur so tuum	Lenoncas sublata corsouaio docu		J leson caxsublatcorshureur so tuum
L020	quo m mentinalen naiien ingresais patent	quo in meratlinalen Rauen moresua rateat		quo m mentinalen naiien ingresais patent
L021	caten foima qua oboun reatemtiuneti naur	catensorma qua obaum eatemiaia nacu		caten foima qua oboun reatemtiuneti naur
L022	Fabrcatin fut.	Abcatam uit		Fabrcatin fut.
L023	prit de poncenns an	ret d. Jabnienns ar		prit de poncenns an
L024	is ptrea insa mevetur, vet	bnea insa mivetu		is ptrea insa mevetur, vet
