line	mccatmus	tridis	transkribus	correct
L001	Jerne	Teoue		Jerne
L002	cassa de arne itoy focit tereres l datres	la tearnvibor ittedert didete		cassa de arne itoy focit tereres l datres
L003	Pas byster su beris Caesar Eubelles, qlli taques cemlaie	Easbster sables (desar libelley ssi tognd ent		Pas byster su beris Caesar Eubelles, qlli taques cemlaie
L004	(stégles teretaz desinthere pauretitz modre	s erelaz dessibuere penresnada		(stégles teretaz desinthere pauretitz modre
L005	restusa croget entre bimestie Iul pocnssuige	eestura ciozel catra baesae sul roona		restusa croget entre bimestie Iul pocnssuige
L006	so fa de incarrenda	so faddo rcarreada		so fa de incarrenda
L007	Casper dix prosfates p^r parcas Capelle nn	Aagen dia morfadrs  Gancas Capelaen		Casper dix prosfates p^r parcas Capelle nn
L008	que supio confesses fut, hi su prode Non hunidu	uisuria calpeltas fut ai suprodRor tur		que supio confesses fut, hi su prode Non hunidu
L009	wereni motannf celetrar faiere et popore	teren motarns celebrari façere Ea graros		wereni motannf celetrar faiere et popore
L010	Gerenax annvale anre ue messis mode	herechan annuale anrsas ma		Gerenax annvale anre ue messis mode
L011	aui oxevi nodes irtegre tatsfabns fait, pront	cui oreri nudi yadegre calisfastas fuit mon		aui oxevi nodes irtegre tatsfabns fait, pront
L012	aite fait in congessien& modusly	uil fait n condestinq modad		aite fait in congessien& modusly
L013	cuperon ett	reierory e		cuperon ett
L014	Qnsuper quos aste utrient redertos pos fate Caelle	Paluyes quos araa redditos ercafata sane		Qnsuper quos aste utrient redertos pos fate Caelle
L015	et dedu dlit bnenbus pere, paramentez e serici sri	e ledadlis bnesibus çera , paramentoz , sericin		et dedu dlit bnenbus pere, paramentez e serici sri
L016	⟦aupi die dprsuendez Gerentan dsoy ducreu	sausibru ofriguendoz serenlan yoien		⟦aupi die dprsuendez Gerentan dsoy ducreu
L017	duen m'esturs fanvalit, at pentiones Atret 5e	du o mstarre tarualis , aleRhionis trez		duen m'esturs fanvalit, at pentiones Atret 5e
L018	que polait quetanxy pe pois saleo Cesur cntélle	qua luit quotanry ed pbo sulo Csar Cu		que polait quetanxy pe pois saleo Cesur cntélle
L019	moddi	ata		moddi
L020	pyat lere fait en cenfectomeus solucon s reu	o as ru fuit in con lestonigas soluton I		pyat lere fait en cenfectomeus solucon s reu
L021	avcndere a jen ma	anondere a cuama		avcndere a jen ma
L022	⟦t de mrol senti prosfatet pedoetoy est modgga	te de ua lenl nstrates redoele esto modda		⟦t de mrol senti prosfatet pedoetoy est modgga
L023	iiles	d		iiles
L024	cills ducfe dind prge s	lache de nsaureala		cills ducfe dind prge s
L025	que joiser Estimata une puns ud alio compusiss a benahmme led. ru	sul corber Extimada uno puno uo alio compugado esaadhuanoad 		que joiser Estimata une puns ud alio compusiss a benahmme led. ru
L026	piluss modiiqu signe  fur ment ⟦ de	lilielo nodrasee nqne te sur neni rata de		piluss modiiqu signe  fur ment ⟦ de
L027	exoimaba paos^i Mis. ilt l porporase- phiagutg notie	esbimaba puos . Mes ils l-comao tiague notio		exoimaba paos^i Mis. ilt l porporase- phiagutg notie
L028	i ofi hoa q Ficcaly a	annaqealtesel noca qhiceaa		i ofi hoa q Ficcaly a
L029	iinquse motia	inquso modio		iinquse motia
L030	462			462
L031	lo. elet Molet unde cin molq c 	ab. adet noda undecam mily cetad oeca		lo. elet Molet unde cin molq c 
L032	2 aod			2 aod
L033	⁊ pro hagulont	ero hagalone		⁊ pro hagulont
