line	mccatmus	tridis	transkribus	correct
L001	pauparibey pro fat loi serenen nod	ransenbre na hal lal herenin ne		pauparibey pro fat loi serenen nod
L002	en glare fe	Riptare 		en glare fe
L003	et conpincturistence brartur ate	e ebasiuecaroseneharna		et conpincturistence brartur ate
L004	⟦e ncape leçal hoserne	edia nai oon		⟦e ncape leçal hoserne
L005	et produdré y pretatee Se la pellenes dere	et rodades y pretala  arellana		et produdré y pretatee Se la pellenes dere
L006	metedant sequerijuideliéet	vadedaat lequensiy undeliel		metedant sequerijuideliéet
L007	lu leso ptro lacobe de (nbells, Capelle no	tion tego ptro Cacobo de Noellz , apellaro		lu leso ptro lacobe de (nbells, Capelle no
L008	delle occbhia, pelnceren ani mod dus	lidla occlesias  delu Gerensani mododa		delle occbhia, pelnceren ani mod dus
L009	mstures pbi dansa e rabralis deste Capelle	ristaras ybidanda ex etalis desta apella		mstures pbi dansa e rabralis deste Capelle
L010	quousq ense fiuxiert en Edta icleste, et	qubaso dase officiauevit di Esta cnlelta en		quousq ense fiuxiert en Edta icleste, et
L011	ligesane id celebandes me ane en aedesiee	egezane is celebrandis misa ana Eodra		ligesane id celebandes me ane en aedesiee
L012	pen na peo, et défaseten necz : sedpost	wan na mea Idefanstor medt. Sed rot		pen na peo, et défaseten necz : sedpost
L013	cits gecestue a cenen jano,j uoto quodiph nol	çius deçesta a gerenJano aoto quodpa		cits gecestue a cenen jano,j uoto quodiph nol
L014	qur deneurs destribrart e par perilus serde	uo dentur delibnart q panperibus here		qur deneurs destribrart e par perilus serde
L015	qqueboet jane ass es perpetis	quolhet eano asgiaperretaa		qqueboet jane ass es perpetis
L016	Le les crère do q'ipparet ontrate fecte a	balos drerecia pinparet ordrato alaa		Le les crère do q'ipparet ontrate fecte a
L017	sande Carole isci penel asitatene, et amese	sando Cardte i2cib plenal aisitalone da		sande Carole isci penel asitatene, et amese
L018	L Boner prodacte a braetit ride brit	 Conco proda a abiretar nidere		L Boner prodacte a braetit ride brit
L019	lasatuvie ex bndlu masde Carellue sainb anne	Aluturn expudl su ilasde sarelle serenb 		lasatuvie ex bndlu masde Carellue sainb anne
L020	vestuta paupert ruc	lisura paunena		vestuta paupert ruc
L021	esbrant sus moitt	desobuant duo mos		esbrant sus moitt
L022	coc je renjanad pe que me sitr fandaton	an he ieniun ad guescrisla yno uene cundarn		coc je renjanad pe que me sitr fandaton
L023	na			na
L024	M. Ledoiciz a	edoico		M. Ledoiciz a
L025	cande quoy ordretene M	ande quos ordraione		cande quoy ordretene M
L026	actlr ritepte et cit porali a Nalne	ronal hizens dacias sonal aala		actlr ritepte et cit porali a Nalne
