line	mccatmus	tridis	transkribus	correct
L001	lHlomona Lelle bane de V^re Ropho susprorat	lemona acll dane a Depho Jaspioras		lHlomona Lelle bane de V^re Ropho susprorat
L002	dellr O. crivelis, ⟦une l mn nella chieria della	ellicacli sana Et nella chieria del		dellr O. crivelis, ⟦une l mn nella chieria della
L003	vcrarse sons l'infraseritez, Et le que colsde	Gensono  infrasorie , lo  suecel		vcrarse sons l'infraseritez, Et le que colsde
L004	quai Goeli. m^. G. Donpois brivelle- et nores	quai do ele mi. E Rosapeio briuelloeno		quai Goeli. m^. G. Donpois brivelle- et nores
L005	Tolia una terra gracenh nel lerr, oui si	elia una terra gracon aeltarri oi si		Tolia una terra gracenh nel lerr, oui si
L006	dici al doso	dili al doso		dici al doso
L007	cohere d'Ina ph il le. Oud^e da fay.	coler d saa pr e e beado da Fay		cohere d'Ina ph il le. Oud^e da fay.
L008	-dellalte pz. hy. Lodouigo Osizesse d'ur	dell altea e. II. Ledoigo Crirello dy		-dellalte pz. hy. Lodouigo Osizesse d'ur
L009	Chade d'uxa ph l'stsi dellad.	rada o vuna ps lprrdi dellas		Chade d'uxa ph l'stsi dellad.
L010	Moniere lu scon	lloicha uiscom		Moniere lu scon
L011	Lpiu pepia na toura gieconz nel lorr sop. ocai si	Eber sona una tyura diecanh nel fayt . sope. ouela		Lpiu pepia na toura gieconz nel lorr sop. ocai si
L012	dici il Coscta di prens.	çiçi il cosera di troio		dici il Coscta di prens.
L013	e	S		e
L014	conrenèee, le Herodi della G. Non e à	o arcueel  Ferei della e. Nonçela		conrenèee, le Herodi della G. Non e à
L015	28-	28		28-
L016	1			1
L017	su cosoz dell 'altro ph ul odio eriude	la cony aell altra ph. mi Lodorgo enmudo		su cosoz dell 'altro ph ul odio eriude
L018	de l'alfro pz la Secina di C'Ition.	dell altra pee la dreima di E tie		de l'alfro pz la Secina di C'Ition.
L019	quarfe can. mleritte	quara can in cricto		quarfe can. mleritte
L020	2			2
L021	l bia possia una oracent n'el sos. terr ouisidici	Ebia posia una viacen nel cas troy . iati dica		l bia possia una oracent n'el sos. terr ouisidici
L022	⟦t campo di Ralnii	 Campo du asi		⟦t campo di Ralnii
L023	conrencu d'Ina pry li fig? d'Andriens	Cohereneie deJna gt li figeta s Aireçro		conrencu d'Ina pry li fig? d'Andriens
L024	Di casiteste dell'attre pt qui piosgies	E Caliloa del altra perl gro groigio		Di casiteste dell'attre pt qui piosgies
L025	li Es Mauri dell'alsra Thars, de ll'altra	ci t Mauri dell abtro srada dell alag		li Es Mauri dell'alsra Thars, de ll'altra
L026	l'letedi dit luign	ne dil Rluig		l'letedi dit luign
L027	Aluig caceis:	Rluign caceca		Aluig caceis:
L028	1 5	1		1 5
L029	Eesin belfia vona di bsies ous si dies en caeul - ji	piu beia una dis oui sidier en casar		Eesin belfia vona di bsies ous si dies en caeul - ji
L030	coheroneie. de due pir	cohrenul de dulo p		coheroneie. de due pir
L031	dell'attre deu Racla-	dellaltre aa lada		dell'attre deu Racla-
L032	31a 9. fagt	ia Jag		31a 9. fagt
L033	16			16
L034	eprie poflia pa di fascho nel teur. di 6. ou si	Eue poslia una di sasero nel tennr di G. oeis		eprie poflia pa di fascho nel teur. di 6. ou si
L035	ò Ce A 8.	dl a		ò Ce A 8.
L036	Graq.	Gla9		Graq.
L037	coberencie n ogré pas il 8t Ciagt.	Coherenca  oque perl l e vias		coberencie n ogré pas il 8t Ciagt.
L038	Ar			Ar
