line	mccatmus	tridis	transkribus	correct
L001	An	P2		An
L002	26			26
L003	Peor	Le		Peor
L004	⁊			⁊
L005	De eu tou	De cul		De eu tou
L006	"P	2		"P
L007	stura	tera		stura
L008	Pauli loes	Lank ta		Pauli loes
L009	Sane cissime	Saneatim		Sane cissime
L010	Sans	Jan		Sans
L011	Sere	Cere		Sere
L012	Jan	an		Jan
L013	Sacraments	Taerament		Sacraments
L014	Reelan	pla		Reelan
L015	Jen			Jen
L016	Saberndeulan in interion garce ttalic	Debernacutan in interion garce siuttul		Saberndeulan in interion garce ttalic
L017	ornetur, et into	ornetar, et int		ornetur, et into
L018	tenviari drapt	tenuiari drap		tenviari drapt
L019	nen da Pixidum fant et	menta Diridun Fant er		nen da Pixidum fant et
L020	terico ru bei coloris	erico rubei celorit		terico ru bei coloris
L021	Crojocun rubei co toris sericun comparetur	ono gorum rubei cotoris sericum comparetur		Crojocun rubei co toris sericun comparetur
L022	ad roeum Tabernaculun contégendum	ad totan dabernaculum contegendura		ad roeum Tabernaculun contégendum
L023	PLavis Tabernaculi denue inautande, cume	tauis sabernaculi denuo in auranda cun		PLavis Tabernaculi denue inautande, cume
L024	cordula et flosculs pariter rubrot	corduta et losculo gariter nibro		cordula et flosculs pariter rubrot
L025	De fonse Bapeismaliet sa ris Oles	De yonte Boagismatiet saeit Ole		De fonse Bapeismaliet sa ris Oles
L026	percalun supra fonten Bagasmalen	bercatum supra gontem Bagtismaten		percalun supra fonten Bagasmalen
L027	reneun seit stamveum apponatur, qua aque	Eneano seu stamneui asigonasur anaasra		reneun seit stamveum apponatur, qua aque
L028	nibda astervetur.	nitdr atoruetur		nibda astervetur.
L029	Penestetla in (apella Bapoistery-Orien deno nesuy	Tenesteha in (gella Bafristery Orien ieaaverm		Penestetla in (apella Bapoistery-Orien deno nesuy
L030	Servata forna Instruedinan accommadetur	Teruata forma instruedonam accommodetu		Servata forna Instruedinan accommadetur
L031	47s asservandis sacris Pleis Phrrisatis et	bro ateruandis saeris Oteis Prismatit et		47s asservandis sacris Pleis Phrrisatis et
L032	lathécumenorun Que in tra vesti aeur parns	let hecumenorun qul intra uestiacar panno		lathécumenorun Que in tra vesti aeur parns
