line	mccatmus	tridis	transkribus	correct
L001	malois plechaiens et concumens crese.	ealis slecearens ce ancuonend ereti		malois plechaiens et concumens crese.
L002	ne lauccsdices aRciaorr	cellaccodicto aRieraore		ne lauccsdices aRciaorr
L003	Padinur Casvellus, ensue de et es perserarot	Dedinus sarmellus, insueleredos perera		Padinur Casvellus, ensue de et es perserarot
L004	qc aanis des li brière paupier Entreie,	auteanis Ascu tieve pauper busraun		qc aanis des li brière paupier Entreie,
L005	loci Jars se de panis e ticei qaimadinodunt	loci stia dede sanis citiai guumadmarn		loci Jars se de panis e ticei qaimadinodunt
L006	ceneverr proqus oncre obligner est pecix	senentar suo pus oncder oblignta ot peia		ceneverr proqus oncre obligner est pecix
L007	una terre campemneupab macema	rena teore campimuncupaci macema		una terre campemneupab macema
L008	lagux il camps d'ella le motinra r teril	tagna il camsis delalismotira nn temi		lagux il camps d'ella le motinra r teril
L009	Genlani macenors	Gereladi racentit		Genlani macenors
L010	Maccries campelhrs Cilesd sanee Ambrosis	Mlacerie campettus Eederz sanec Ambrotn		Maccries campelhrs Cilesd sanee Ambrosis
L011	Eume decevs ac Tindusian reliquot pat	Jum Tececce acgendas can seligelss hati		Eume decevs ac Tindusian reliquot pat
L012	ddeanpbirence propostisscedulis V. Era	ad camatinente propohtis scledu V		ddeanpbirence propostisscedulis V. Era
L013	nesence jcendntor, queiquis vers cons	relence reendatar quequid vilvo cons		nesence jcendntor, queiquis vers cons
L014	mine eet moncan etoinataen	mine eorget infabucamn etomacaen		mine eet moncan etoinataen
L015	Cutest mep Gennlini mnmataos	Calehl ue e. Gerentasi inmatar		Cutest mep Gennlini mnmataos
L016	a presuipaune secretoz anste i s Dnus	ad me suiperin deenetoz anti 2574 Taus		a presuipaune secretoz anste i s Dnus
L017	firmou sfrl tell oneus aserentissameulés.	fismmus (atellionelnf atrevent ip san eule.		firmou sfrl tell oneus aserentissameulés.
L018	con numeret n mentrrat toinus estenty	con numeniti in mensrat tomus cotect		con numeret n mentrrat toinus estenty
L019	suam adestus ett nullomete mictrnmutee	quam ad estuso nullo moto intietara marelia		suam adestus ett nullomete mictrnmutee
L020	manurs	manam		manurs
