line	mccatmus	tridis	transkribus	correct
L001	Cet			Cet
L002	una compe	na camsa		una compe
L003	⟧rviery ferena	errworg Gerctea		⟧rviery ferena
L004	ab nas parse Mec	asea peree bre		ab nas parse Mec
L005	Ledouise Dévette	ladouiu Rebel		Ledouise Dévette
L006	LN			LN
L007	Tacoti Jaj	acotiJa		Tacoti Jaj
L008	4			4
L009	cecheree	cherec		cecheree
L010	baux en	Iala d		baux en
L011	c alic secdn	salia heeda		c alic secdn
L012	La"	2a		La"
L013	Lecà alia compi, itr dici tur à	eri alia cansa, noi dite tara		Lecà alia compi, itr dici tur à
L014	Arendane	erellan		Arendane
L015	Cadourd.	lado		Cadourd.
L016	Cosche predions niserr	bascho pedropm niterr		Cosche predions niserr
L017	eui cohuret ab una paree d	can coherecab una parer		eui cohuret ab una paree d
L018	rebilli ni parce et n parcr &	rebilli sn parte et irar		rebilli ni parce et n parcr &
L019	Hv. Peri fetati, ab aliahes	twi Becrisetati ab alia Ker		Hv. Peri fetati, ab aliahes
L020	Hieronpme vis comit	Eerozeymi vioconi		Hieronpme vis comit
L021	et qut pena louc	etgat pena loca		et qut pena louc
L022	dnci	d		dnci
L023	⟦es septere	T Tepton		⟦es septere
L024	sure sourn	hert taar		sure sourn
L025	salaertr ad compuaant	Laluerto ad comeputan		salaertr ad compuaant
L026	Marioaer	tario		Marioaer
L027	iont sicatiy, et briren ailli	tria sicalis , estriun nilli		iont sicatiy, et briren ailli
L028	Lena alix campi, ubi dicieur atcaude	Letra atia campi, ubi diitur al eard		Lena alix campi, ubi dicieur atcaude
L029	dil prâte sen bodent n Cruari-	dil reto sea bollentt i Eriar		dil prâte sen bodent n Cruari-
L030	Cevindeni, ui coheret à dusbur parcieu	cronlam un ioheret a duebur cart		Cevindeni, ui coheret à dusbur parcieu
L031	heredun d Jacobr a man	pewdund Jacoideman		heredun d Jacobr a man
L032	Et abaljj	ecob alj		Et abaljj
L033	ducous cervons appullacu ilbotences	dueba terrers apulacu il boslartiz		ducous cervons appullacu ilbotences
L034	num lococa maf^es deaphaili ce Lo.	nume Cocata mas iClaskaeti c o		num lococa maf^es deaphaili ce Lo.
L035	Saptre fearriour de saguans	Bapta Pecriva , de sa grane		Saptre fearriour de saguans
L036	Letis dia compi, uoi dicider	etrk aia campu, ubi dicirer		Letis dia compi, uoi dicider
L037	al iabnuns	a Niatin		al iabnuns
