line	mccatmus	tridis	transkribus	correct
L001	iterant	steran		iterant
L002	soluendi dice	solnendi diet		soluendi dice
L003	Perdevert et	Eerseveret 		Perdevert et
L004	unam	anam		unam
L005	comp	com		comp
L006	1			1
L007	atis	a		atis
L008	na dabio	na dabit		na dabio
L009	ccles	etet		ccles
L010	An	an		An
L011	mita carcara	mitecarcica		mita carcara
L012	Sengule	Singu		Sengule
L013	rerdoc.	eerdo		rerdoc.
L014	Verseveret etum in hat	Perseucret stam in ha		Verseveret etum in hat
L015	Le brar	Tebra		Le brar
L016	can	 ca		can
L017	DE			DE
L018	2			2
L019	10et			10et
L020	sohdt l	cliar		sohdt l
L021	⁊ singudles dominicis et	Singutes dominicis et		⁊ singudles dominicis et
L022	et missam unamt	Es mitsam una		et missam unamt
L023	1			1
L024	Heka miname	ESa mina		Heka miname
L025	"e	CC		"e
L026	diebuy	die		diebuy
L027	feniatem inn sin	Feriaem in T		feniatem inn sin
L028	hebdomada iaxta reduetsnen à Sede A	reddomada iuxta reduationen adedet		hebdomada iaxta reduetsnen à Sede A
L029	stolica obcente	Stoliea obtent		stolica obcente
L030	Patronaons	Patrenacu		Patronaons
L031	Rescatine	Rescardine		Rescatine
L032	D.	D		D.
L033	M. lei	Tee		M. lei
L034	fape	ap		fape
L035	la	2		la
L036	Ma estdeiat	la Atde		Ma estdeiat
L037	francisee Gribelle de lo 0	Grancisci Cribellideoc		francisee Gribelle de lo 0
L038	Plebit Buse Arsiy.	Plabis Busce Briey		Plebit Buse Arsiy.
L039	eret titubaris quampriman prouidere de	uret titularis quamprimunm feouidard ae		eret titubaris quampriman prouidere de
L040	supellecnhi que deests prs mitte sacrifice	supenecati que deess ro mitee saeiziçio		supellecnhi que deests prs mitte sacrifice
L041	Decenter et religiose cctébrande.	Decenter et retigiote eetebrande		Decenter et religiose cctébrande.
L042	Seona (a belle quampriman renovetur	cona aselle quamprimam renouesa		Seona (a belle quampriman renovetur
L043	270 l'apella Sanete fatherine	tro Papena Tanete Jatherin		270 l'apella Sanete fatherine
L044	Odest. Aloare prini leggiatin ad septan	ydess itare priileggiatiom ad septen		Odest. Aloare prini leggiatin ad septan
L045	6			6
