line	mccatmus	tridis	transkribus	correct
L001	il ampadle que po	ilampadlo one u		il ampadle que po
L002	labells, celaborature	Goello , eclabont		labells, celaborature
L003	ei orenjerq	deoenver		ei orenjerq
L004	detur à DudeClartre	ecro e Dro Marat		detur à DudeClartre
L005	Pacshum deGquannes	Jasbum Pelaan		Pacshum deGquannes
L006	les Dagey	o Dape		les Dagey
L007	Coni dct LE	Cmed		Coni dct LE
L008	Mare ovent et seredun da Bager	dare Tonrazer derden dno. Tar		Mare ovent et seredun da Bager
L009	farone.	Perron		farone.
L010	Locis ala cerre enmpiquy porti desus ddni	Pecia alie terre ca mi que potla decurd		Locis ala cerre enmpiquy porti desus ddni
L011	Alexandre sarcans, et olisur a n prers	Lexaniw areaers ee altur an viern		Alexandre sarcans, et olisur a n prers
L012	Cencone eni crer cesdo Mlavi Auconiy	Eencono cuicorer hovn Alani Anconi		Cencone eni crer cesdo Mlavi Auconiy
L013	Pabett  Madre Cel ce reredum	ndeli vri lexiri fal ee lerenin		Pabett  Madre Cel ce reredum
L014	Vasb ugnam..	JacobiRegnam		Vasb ugnam..
L015	Bnio. Lecrus dt el Decegae Jecaior Sersri, et	Dnelo Letuy d 2 Decega titacon seri et		Bnio. Lecrus dt el Decegae Jecaior Sersri, et
L016	lejarceres fax. Cessate dabitaer sermsi	psar reres gran. ellate rabitaeor leon		lejarceres fax. Cessate dabitaer sermsi
L017	que ao lac trious auns bona mifra a	qde ao hiachions eimi bona meradd		que ao lac trious auns bona mifra a
L018	calerran ces perarant deumenni-	cultaran redji curarant deimame		calerran ces perarant deumenni-
L019	atun prepestre Geroalane, adquain	deabum grepvatay Jeranlam , adguan		atun prepestre Geroalane, adquain
L020	dde sure spectie à die que ex ipaceage	de sure pectaere a rie qua es in puctar		dde sure spectie à die que ex ipaceage
L021	dpere perune eu van morem et ontuelu	rerreRenint quata morem et contueta		dpere perune eu van morem et ontuelu
L022	Bine mes aus cerntoin paluane acquetrais	dineon totius terntorie y aluant aequotra		Bine mes aus cerntoin paluane acquetrais
L023	perecussnecror cempenbns m pestitiones	peietiu pecuso temponba mnnlstatione		perecussnecror cempenbns m pestitiones
