line	mccatmus	tridis	transkribus	correct
L001	alle cotons, et clare nuniatur	th coloord tctrae nuniate		alle cotons, et clare nuniatur
L002	Proassesande auten sacre elles infirmorum	Geawernaade aaren saero otes infermorum		Proassesande auten sacre elles infirmorum
L003	fatere Caangeti in Ca gella maiori fenes	Catere laangetij in Capella maiori Gene		fatere Caangeti in Ca gella maiori fenes
L004	tella excavetur jarta forman pre seriptan	dela excaultar inxta formam grescriptan		tella excavetur jarta forman pre seriptan
L005	Cairarien in Cagella Bapbissery Qiadenoem	Gacrarian in segella Bapsisterij Pecidenden		Cairarien in Cagella Bapbissery Qiadenoem
L006	vessus enca mensen sera claudabur:	versas intra mensen Tera caudatur.		vessus enca mensen sera claudabur:
L007	Adsit cenre mensa en subales nuieis, cun du	Dsit eaam mensa ea sabalis nueeis cum da		Adsit cenre mensa en subales nuieis, cun du
L008	sout cardelabris ex aurcales mapr atda	ebas candelabris ex auricalio mapza oruta		sout cardelabris ex aurcales mapr atda
L009	Sterrenda cun sairamentuon Bap le satis	Sternenda cum Sacramentum BapEimatis		Sterrenda cun sairamentuon Bap le satis
L010	ministedndun erit	ministrandum eret		ministedndun erit
L011	De (agella Maisri-	De (apela Maiori		De (agella Maisri-
L012	Sugra Altare mains Labella secreturumt Trats-	Ougra Sltare main dadella secretarum Orato		Sugra Altare mains Labella secreturumt Trats-
L013	enun decenbier quamgrinum conficiatur	num decentior quamgrimum conficidour		enun decenbier quamgrinum conficiatur
L014	Sa purte Ggisvole fenestela pro. arccolis	in parte Egissole Einestella gro. arceoli		Sa purte Ggisvole fenestela pro. arccolis
L015	Aperiabur.	Aper atar.		Aperiabur.
L016	Dubsellix, ex sabales nuccis diligenser elaborata	Cubsehia ex sabulis nueçis diligenter elaborata		Dubsellix, ex sabales nuccis diligenser elaborata
L017	conficiantur pro sacerdotions Divina Oficia	conziciantar gro sacerdosous Diuina Edicia		conficiantur pro sacerdotions Divina Oficia
L018	jibiden cetebranti bus.	orden cetebranti dus		jibiden cetebranti bus.
L019	Fran suersa trabsin lee	Tran suerta trabsin sa		Fran suersa trabsin lee
L020	ffrontispicid. que	Frontissicid Que		ffrontispicid. que
