line	mccatmus	tridis	transkribus	correct
L001	2			2
L002	Rexeritur in. Abs	Gereriter in Bon		Rexeritur in. Abs
L003	Inpre'inter aha	Jurn inker ala		Inpre'inter aha
L004	e Romine Dominé	n Romine Domin		e Romine Dominé
L005	seuino. Inorcte seuna quinto	caurdo . Endiet deuma qui		seuino. Inorcte seuna quinto
L006	Pontpeates aute. pone	Contifeabes auten		Pontpeates aute. pone
L007	Duuisl	rit		Duuisl
L008	Laxe Mexareri Septine, aux cins ator	lanz deaanori depine anto eiue a		Laxe Mexareri Septine, aux cins ator
L009	N5			N5
L010	Persso^r et Rdm. Reu^t Dnns Bonpo drrtus sau	Eer ton Reis Drus Voreps Eritut d		Persso^r et Rdm. Reu^t Dnns Bonpo drrtus sau
L011	resihus Cecleriy Secularis, nub titule Itroy Pesoi, et Paule	sites Peclesos Seculans sub tihels Thertem tent		resihus Cecleriy Secularis, nub titule Itroy Pesoi, et Paule
L012	Ple Ff Applane Duv. Redistani filiie	Pet. Asplani Dus Medistani tilii		Ple Ff Applane Duv. Redistani filiie
L013	Volantariel	Polanlaries		Volantariel
L014	Chennibus modaf-	Ctomnibees nodes		Chennibus modaf-
L015	Veut, et prsituuit.	teiit et arstituut		Veut, et prsituuit.
L016	Suu frouirakre preciale	Sun Procuratre sreçiale		Suu frouirakre preciale
L017	MI			MI
L018	Bartolon	Barbl		Bartolon
L019	SSeriss^e et Br Jred Franeuf Jeua varisg fegis Vordre aptereut	Serst e18 Jau Frantut Joua vrmig Leisdortre an		SSeriss^e et Br Jred Franeuf Jeua varisg fegis Vordre aptereut
L020	Ordinanu, et Vistalire Ileb^t Appladir	Ordinanu, et Visntatire dleb Apolan		Ordinanu, et Vistalire Ileb^t Appladir
L021	Saevaliter, et prourrabris toie ipsins St cnshaiests Ddiosen	Lieualiter , e procuradorio ie iyiuse. ciaiertiadcaea		Saevaliter, et prourrabris toie ipsins St cnshaiests Ddiosen
L022	terdu, et parabula, consersu, et licerha Sandu, et pltardn	tiendu , et parabula , consensu , et licenha dandu , et nesardu		terdu, et parabula, consersu, et licerha Sandu, et pltardn
L023	omnea, et sinqula gerenda, et facienda, seu que lepilane fent	mria , el sengula gerenda et fauenda , sen que lesiame en		omnea, et sinqula gerenda, et facienda, seu que lepilane fent
L024	et nu dabenlier a lere prde E les^e Applani, ouanone etcavs	el uestabrenhor a tero uzl el sapolane ouasine elcaua		et nu dabenlier a lere prde E les^e Applani, ouanone etcavs
L025	sex jecimaris a Uno Iiro. Sapa Mexandre sephme impontine	lea Jeçemario a Ino suero . dasia Aexandro senanoinentan		sex jecimaris a Uno Iiro. Sapa Mexandre sephme impontine
L026	aroul ex Bullad. qui in veritate crecit onna, et sinqula	trout eo Bulas quia in ueritate credit omma et singula		aroul ex Bullad. qui in veritate crecit onna, et sinqula
L027	que tahler feri, et suie facta, et gesla perint, et jeps etpert	que talter sen , et suue facta el gesta uerint el ieas esne		que tahler feri, et suie facta, et gesla perint, et jeps etpert
L028	cnhrjent per don perse et	contingent per d perN e		cnhrjent per don perse et
L029	Dul Han	 tran		Dul Han
L030	1e.			1e.
L031	senaliedee	Sendieden		senaliedee
L032	un, et adt ublitaté sa prde (eri qua ipins consabuentisen	in et ad uktitate ta guzd . Ceri , qua pnus consatuentisin		un, et adt ublitaté sa prde (eri qua ipins consabuentisen
L033	cmnious, et per onnia uirants, proutouts Reuj . mne	omnibus , et ier omnia iuranas , aroutornto Reni en		cmnious, et per onnia uirants, proutouts Reuj . mne
L034	Proeuratri melins indebitur, et plaiverit, et ex mun que	trocurari melius reidebitur et slauient et exnut que		Proeuratri melins indebitur, et plaiverit, et ex mun que
L035	unsadiens iurannit . cack rechre Mor Sacerdith Gien	cinsadiens iurauit e tacho pecare More aerdotali g		unsadiens iurannit . cack rechre Mor Sacerdith Gien
