line	mccatmus	tridis	transkribus	correct
L001	annes prs Defuncas fratribur es foutoron	canos g Defuncas fracribuses Cortoren		annes prs Defuncas fratribur es foutoron
L002	bur Sarocassi ne Sacrament singala ferra	dn Sanecasnmi Sacranend singulasfena		bur Sarocassi ne Sacrament singala ferra
L003	secarda cuins Ler leBomade	secanda cuins kbee heddomad		secarda cuins Ler leBomade
L004	Pro Capella Sanetissime Porary	Tro Capella Sanetinimi Rorarj		Pro Capella Sanetissime Porary
L005	In nac Cagella nullun adest onus miharan	In hac sagete nullum adest onut mittaran		In nac Cagella nullun adest onus miharan
L006	meq legatun ; singulo tamen prims Rominies	nes legatum , sin gulo tamen primo Pamiica		meq legatun ; singulo tamen prims Rominies
L007	Die missa cantaauir per D Prépositum, et post	die misa cantacur pervo B repositum es port		Die missa cantaauir per D Prépositum, et post
L008	nesgeras Procenis habetur Sanctittimi Rosari	uesgeras Procenis habetar Sanetittimi Rotari		nesgeras Procenis habetur Sanctittimi Rosari
L009	quamnis de clécisre sodalicatis non cnstee	quamuis de efecione sodalitatis non cinstet		quamnis de clécisre sodalicatis non cnstee
L010	Becreaum Visitatisnis anni i60s. reronatur	Deerecum Visitationis anno ibos venonatur		Becreaum Visitatisnis anni i60s. reronatur
L011	idelieez We ianna que un parte septen	uideliela Ve ianua que in parte septem		idelieez We ianna que un parte septen
L012	trionali paret proge la pellam S.saroli	trionali pated hpope Capellam SCarol		trionali paret proge la pellam S.saroli
L013	cxécudni mandesur.	exeeuasni mandetur		cxécudni mandesur.
L014	De sacristra	De Pacristid		De sacristra
L015	Basithoer, in qui tan minse, quan connvalia	Dasit liber in quo tam miste quam connuatia		Basithoer, in qui tan minse, quan connvalia
L016	que celebrancur in hac Ceclena dilgenter-	que celebrancur in hae lecleia dilgenter		que celebrancur in hac Ceclena dilgenter-
L017	Enotentur.	nobenour		Enotentur.
L018	Archiniun en lees tute in sacristia corssiouatur	Archiuium in loeo tuto in Sacristra constituacar		Archiniun en lees tute in sacristia corssiouatur
L019	2			2
