line	mccatmus	tridis	transkribus	correct
L001	rotta de le legar ellimotina	rotta deli legar eMendia		rotta de le legar ellimotina
L002	M Ronper frevcle è cenuts à tai ure searerdens	 Renpro ruello e teruto afai ma legarae		M Ronper frevcle è cenuts à tai ure searerdens
L003	a" de moygia duc di ni ss.i l agpanne allapeners	 de nopgia due demis egiania alla pone		a" de moygia duc di ni ss.i l agpanne allapeners
L004	de berchze cone apfire ser uns paleat maz	d bercaz come appare per uno paleat mar		de berchze cone apfire ser uns paleat maz
L005	Ante srivelle ce que not! d'atans	las suuello es qel diot dntano		Ante srivelle ce que not! d'atans
L006	Des			Des
L007	soas qua assi. 1b. de sep sé peassorpe	wans gra anm 16. dertefse hsor		soas qua assi. 1b. de sep sé peassorpe
L008	voide ou son capelle jtps	en son Capelte 		voide ou son capelle jtps
L009	2			2
L010	De			De
L011	DEE A.			DEE A.
L012	DEN			DEN
L013	9			9
L014	ters ie			ters ie
L015	L.NU			L.NU
L016	Padpo de Carnelle apelete il coolino e sennhs à far opel amé 	badno de Jarnell apelato il coobno e tenudo a far ogu anue		Padpo de Carnelle apelete il coolino e sennhs à far opel amé 
L017	régâte Lelemotinarie L. M^e T. fermente all jour	lexal deemotinario d si be. formento all to		régâte Lelemotinarie L. M^e T. fermente all jour
L018	saups commenita L Gezenggnez et i ast chrate quels-	ausa commenita d Gerenzano , et e asl curato quelo		saups commenita L Gezenggnez et i ast chrate quels-
L019	soura une campo it el c'orana il sampe de	Poura uro Campo el quel E onanail onpo de		soura une campo it el c'orana il sampe de
L020	correntia d'una proirt jh P. Hlici	coereatra d una pare jl s Fi		correntia d'una proirt jh P. Hlici
L021	etivesto	Siieco		etivesto
L022	MeeseE			MeeseE
L023	CUGRI EEN	Vo		CUGRI EEN
L024	tARES	onea		tARES
L025	Sy MR A Ro	d		Sy MR A Ro
L026	SNRCAUEE			SNRCAUEE
L027	A RE			A RE
L028	4			4
L029	2			2
L030	12			12
