line	mccatmus	tridis	transkribus	correct
L001	Le			Le
L002	1e			1e
L003	mng. in su	na. in sa		mng. in su
L004	fiesan	Jueran		fiesan
L005	De			De
L006	Knaiu	Brri		Knaiu
L007	rioribres	eribu		rioribres
L008	executisni	Executisni		executisni
L009	Md	n		Md
L010	1			1
L011	Visiruton	is. ao		Visiruton
L012	arolus Endrens Baite	arolus Endrear Beile		arolus Endrens Baite
L013	Jesitatre	calo		Jesitatre
L014	" decresa	decresa		" decresa
L015	quamprimun mandenaux	Gcamprimum mandenan		quamprimun mandenaux
L016	AaV	E4		AaV
L017	Jertire Régue	ort		Jertire Régue
