line	mccatmus	tridis	transkribus	correct
L001	145			145
L002	" nommne Anc Amen	a nomue oni Amen		" nommne Anc Amen
L003	6 u4	5al		6 u4
L004	Heéz^me Armiragls	Fier Armiragl		Heéz^me Armiragls
L005	ep^be, et Renor de gerenrans siecz di Aulers	e el Retor de Gerenrate diocy de Aele		ep^be, et Renor de gerenrans siecz di Aulers
L006	figle de n batta armirati hatitz in osgiaetre viocg di Melaue	figl le in Balter armragly habity in olgia ollea vioch i lile		figle de n batta armirati hatitz in osgiaetre viocg di Melaue
L007	Jui pronos altordine chetricale l'ans della natiaite de l'ars s^t	fui promoso allordire chilricale lemo della natioito del aeso		Jui pronos altordine chetricale l'ans della natiaite de l'ars s^t
L008	Gera Christ 4lx ugrlruf- ilition resta due reneris gionre	bera Ebristo Adle uselii mlisiens sestro die venens no		Gera Christ 4lx ugrlruf- ilition resta due reneris gionre
L009	vnesesh de Marre ependo rescour Mdes Monse Nelehon	xe sesto de Marro estendo vesçono I Mors Releen		vnesesh de Marre ependo rescour Mdes Monse Nelehon
L010	criselle comappare nella mea balla-	Criaello comappare nella mio balla		criselle comappare nella mea balla-
L011	J' anne della ratuite des Xro 3t 40soy idité st die sabbest	Lanno della natuvita del Rro s lvi mi  du selli		J' anne della ratuite des Xro 3t 40soy idité st die sabbest
L012	1^mne octauo del mese di 7bre essendo pronoste in quettuer mersriens	 octauo del mere di ybre essendo promosto in quastuer niron		1^mne octauo del mese di 7bre essendo pronoste in quettuer mersriens
L013	qui aness pronoste. allordine del oudiaconat des sulleus ^e-	fui aneho promosto . allordine del sudiacorato del sullelto e		qui aness pronoste. allordine del oudiaconat des sulleus ^e-
L014	Et saE	tsup		Et saE
L015	o ns euf Ame à Rasiuitase cinssen M0Exvy- fuditré pe	ut sus Anno a Nativitate euiden ldLXVII Inaiie		o ns euf Ame à Rasiuitase cinssen M0Exvy- fuditré pe
L016	giorns di sabbato zue oct^o elel mese di xbre fui pronoste etende	giorno de sabbalto xera octario dlel mete di xbre fui pronosto erund		giorns di sabbato zue oct^o elel mese di xbre fui pronoste etende
L017	constituto nell'ordine del suddiaconato; all'oraine uel Oiconete	constitudo nell ordine del sudeliaconato . all orcine ael Girceret		constituto nell'ordine del suddiaconato; all'oraine uel Oiconete
L018	Dat 2	DelRo		Dat 2
L019	5 MXOuf	o ut 		5 MXOuf
L020	4t 54f	at su		4t 54f
L021	ano nativitetis cisdem 4D5 vry-- ind^ne pi in sabbate	anno Nalivitatis eusdem LVIII- ind p in sabbato		ano nativitetis cisdem 4D5 vry-- ind^ne pi in sabbate
L022	de smar ze piorne quinte fui promosso. esendor constitute ne l'ordine	de Marzo piorno quinto Jui promosto . essensio constituto nell ordaa		de smar ze piorne quinte fui promosso. esendor constitute ne l'ordine
L023	asl'ordine gresbiteral das p^te si ut saf-l'isteomena	alordine presbiteral clad hega su sus -uromana		asl'ordine gresbiteral das p^te si ut saf-l'isteomena
L024	rogah nella, Csiera, di S.Gastorgie mn Milare presesti	rogato nella cbierco eu se Eustorpio m Milano preser		rogah nella, Csiera, di S.Gastorgie mn Milare presesti
L025	Set	el		Set
L026	21			21
L027	ven	Ven		ven
L028	don Agostine Macasola Capp^te del sudlette & ct	don Egostino Macasola Cappeio lel suldeta		don Agostine Macasola Capp^te del sudlette & ct
L029	dur Gianfran	uno hianfran		dur Gianfran
L030	Caspagsione nofe della  orse dr hief^t Lalts	larpagione noto della corse drenesa 		Caspagsione nofe della  orse dr hief^t Lalts
