line	mccatmus	tridis	transkribus	correct
L001	4			4
L002	19			19
L003	N			N
L004	36			36
L005	DUs			DUs
L006	16			16
L007	1			1
L008	6			6
L009	25			25
L010	A			A
L011	16			16
L012	1			1
L013	&n			&n
L014	6			6
L015	tes	e		tes
L016	I			I
L017	N			N
L018	37			37
L019	CRES	ono		CRES
L020	N			N
L021	N			N
L022	IUSTS			IUSTS
L023	It ters	iez		It ters
L024	Sues	sue		Sues
L025	72			72
L026	UU			UU
L027	dices	ice		dices
L028	qui	qui		qui
L029	154			154
L030	esst	cli		esst
L031	187			187
L032	sierangure	anga		sierangure
