line	mccatmus	tridis	transkribus	correct
L001	débéc pre annis or et B3i melhae n je	deberpro annis 02 et 53: misare n2		débéc pre annis or et B3i melhae n je
L002	gaire parce anni isec Mity m.	gro rares enni edla di n		gaire parce anni isec Mity m.
L003	loannes due Silaga Dra de Brsers debet pro	canne sne slagada to Dotoso debee mo		loannes due Silaga Dra de Brsers debet pro
L004	anvis sepeem compuracis modujais, peu	aunes seasem conputacis motusao pea		anvis sepeem compuracis modujais, peu
L005	plucis d'Aubells. pecents aitulari et au	laci d zivello iecents titalan etcu		plucis d'Aubells. pecents aitulari et au
L006	dam otie cappellans de snns i119, qui	Sam gratu caprellans Teauns 1110 g		dam otie cappellans de snns i119, qui
L007	eclebiant destoit intotum mor se	eclebrauz zes tas mertum mor tet		eclebiant destoit intotum mor se
L008	fane noi ee modia rp. Coiry	rumenti ee modia n roaa		fane noi ee modia rp. Coiry
L009	scra	tra		scra
L010	Suprascrepti ones bebetoies automen	Luprascrepti ones hebitores aentne		Suprascrepti ones bebetoies automen
L011	menien sepremons presenoijann pl	menien Lestemous preiencis annital		menien sepremons presenoijann pl
L012	vane dcoi tun unvertin s Deuripen	uant debitumuiuentum . teuripta		vane dcoi tun unvertin s Deuripen
L013	lepottacis deputands sub pens mncerdic-	lesortadis deqltanda tas iena ontertie		lepottacis deputands sub pens mncerdic-
L014	e			e
L015	cab mpessa culehez, et proptereconas.	 26 ingrettor eulehe, eteropterermas		cab mpessa culehez, et proptereconas.
L016	bepstreuss contiressagat ad eutisnen	Pesotitaduls contralos agat ad utionen		bepstreuss contiressagat ad eutisnen
L017	⟦et ti corm de leucrend. Qnoll Gen-	debita axe ll Geuerente VoGor		⟦et ti corm de leucrend. Qnoll Gen-
L018	qu summane exenctisnen uncia en	qu sumonaere exelitionem contra eo		qu summane exenctisnen uncia en
L019	Tous commnitnt ct iteren cequeltiatu	bond comonitat ct interim cesuestert		Tous commnitnt ct iteren cequeltiatu
L020	Gru erm fa ,	Quitumgrat		Gru erm fa ,
L021	DDepuce fabrcesis ⟦e ptanns	desuclard abuleelotaa		DDepuce fabrcesis ⟦e ptanns
