line	mccatmus	tridis	transkribus	correct
L001	M. Wee Gro	M I ee Jno		M. Wee Gro
L002	2			2
L003	Monsre	Mens.		Monsre
L004	Jierancene	Tovanzine		Jierancene
L005	Retrocandosi net Euoge de Sicentane peuce d' Appiano	etroccandosi nel luoço de Pierenlano puuue dd Apian		Retrocandosi net Euoge de Sicentane peuce d' Appiano
L006	cretta una rapella Etulare, intitulata de S^r Icassarro.	cretta rena casellao titulare , intitulata de S stassano		cretta una rapella Etulare, intitulata de S^r Icassarro.
L007	nella chiesa Trépositurale de dette Luoss con caries 	nella chiesa repositienale de dettoLecose con catite		nella chiesa Trépositurale de dette Luoss con caries 
L008	el de destarbuire lu mogza de gras	di destbuire doi mosgia de gra		el de destarbuire lu mogza de gras
L009	qvessa quotidiane	auessa gcotidiant		qvessa quotidiane
L010	à poccéti de sicrentard ogn' ame la quat hora ieur	a poceeri de Fierenland oin ao lao qual norauie		à poccéti de sicrentard ogn' ame la quat hora ieur
L011	possédute da M Prees Alessr Grarché il quale à pera 	possedecta da A Prett Aless Tranchi il quale a pera		possédute da M Prees Alessr Grarché il quale à pera 
L012	sa tesfare à der messa alla festa eserdo che ne marielé.	satofare a der messa alla festa esendo che ne enanera		sa tesfare à der messa alla festa eserdo che ne marielé.
L013	molte soaa per l'ams, ne nen solo ha ccoluts distribue	uelte tora ieramo ne non solo la iolueto destrebu		molte soaa per l'ams, ne nen solo ha ccoluts distribue
L014	le detti maggia alli pouére de detta terre, ma dépíre	le cletti meggia alne poueri de detta terra ma rejure		le detti maggia alli pouére de detta terre, ma dépíre
L015	aggraca la scola del S^e sacraments à manicenerli la	aqgraua la scola del s. saeramento a mantenerto a		aggraca la scola del S^e sacraments à manicenerli la
L016	Tera, touaglée, paramenti, quali cese si sa che touano-	tera touaqlee paramenti quali cose sisa che touano		Tera, touaglée, paramenti, quali cese si sa che touano-
L017	el Citulare.	al Eitrelare.		el Citulare.
L018	Sero le hieomine de detts commune sano iccorss, a quelle	tero le heeomene de decto commune Janno riccorso a qulda		Sero le hieomine de detts commune sano iccorss, a quelle
L019	sappe che ccoqlea fansi mostaar la fendatione et la non	suar che cloqelca tarsi mostuar la fendatione et lano		sappe che ccoqlea fansi mostaar la fendatione et la non
L020	della cacasa, et seronde la cauiste, lo roglia aggrius	denas cauabas et secondo la caccata , lo rcoqua agarau		della cacasa, et seronde la cauiste, lo roglia aggrius
L021	afesiché la mente del Testatore venga adempete e la	aiene la mente del restatore uenga adenieto ella		afesiché la mente del Testatore venga adempete e la
L022	scola sia solevata di gueste gravelle, che contre ogne	scola sia soleuatao de queste graelde che contra cn		scola sia solevata di gueste gravelle, che contre ogne
L023	aageone avo Capellanio aggrane, elchez	ragcone eso Capuellano asetaua Tene		aageone avo Capellanio aggrane, elchez
L024	⟦	C		⟦
L025	Jo Qre marca dicosana	so o masca di cosuna		Jo Qre marca dicosana
L026	abitente en dette comune	ebitante ia desto comiene		abitente en dette comune
L027	10 Bitt ctoti mrt	o Datta Ga4		10 Bitt ctoti mrt
L028	sa brt arsa	24 0d tan		sa brt arsa
L029	comm	To niind		comm
L030	Nstre			Nstre
L031	Cnécal in cfil	(ne cal ingas		Cnécal in cfil
L032	de.			de.
