line	mccatmus	tridis	transkribus	correct
L001	10	20		10
L002	sep. prosni			sep. prosni
L003	estes	ecter		estes
L004	leuxe, eligy	ean retiq		leuxe, eligy
L005	relion	eelon		relion
L006	vert	er		vert
L007	sacexion			sacexion
L008	2			2
L009	4			4
L010	vet oic			vet oic
L011	Oblare	0lar		Oblare
L012	volatione, qua fiant n eule na dicbur	ealion qua huncncuna da		volatione, qua fiant n eule na dicbur
L013	slix ridacune Racriri tatis Dms Cprphanite	bxridatan Kacuiitalis Ta Gigtand		slix ridacune Racriri tatis Dms Cprphanite
L014	Paschons Desereccon,. Bolonnirare	Packaks Retueruaoe . K zuta		Paschons Desereccon,. Bolonnirare
L015	crperis aje Jencheertte, et decises	xpore zn Vercheerste et diensef		crperis aje Jencheertte, et decises
L016	sanceaun Pecri ee Paut purt Pre	Jaxceouem Berice Jauk Jaar Frt		sanceaun Pecri ee Paut purt Pre
L017	celigna veis onnoy sune schele s	Celigud vers onnit Gune schole		celigna veis onnoy sune schele s
L018	Laramente	aerani		Laramente
L019	reu pusolice	ta fublice		reu pusolice
L020	Communitez heux le ci ex nocasut ce	omnanieas kuuut toi ernoco tato		Communitez heux le ci ex nocasut ce
L021	tenceur quot annes aveder proc morale	trrecar quocann, auwden proa orel		tenceur quot annes aveder proc morale
L022	Ed calesiun sances Paris Revrler	Ed ealesien Jariod vared wore		Ed calesiun sances Paris Revrler
L023	Edeulssiao S arit sanisietochi apud	Edealipan- Meario JarciCtocki apud		Edeulssiao S arit sanisietochi apud
L024	reqnanun dui somerh, ee quotonnes	eepramun dui onert es gpotonn		reqnanun dui somerh, ee quotonnes
L025	etia teml lusbeur pastionalites	eeram timil lusear Justioxalitr		etia teml lusbeur pastionalites
