line	mccatmus	tridis	transkribus	correct
L001	Poiso erat	trisa cra		Poiso erat
L002	et fictur	et Gicter		et fictur
L003	Ia ceseorate	In cetebrans		Ia ceseorate
L004	que in	112in		que in
L005	Ims			Ims
L006	ornctur	t		ornctur
L007	Om	6		Om
L008	lhar	t Kar		lhar
L009	Cram	eram		Cram
L010	7			7
L011	asdère	ardere		asdère
L012	Jme primune	sem primam		Jme primune
L013	adhibé	dte		adhibé
L014	à tempe	a cemz		à tempe
L015	ad sumplis	ad Samg		ad sumplis
L016	nires suppetant	uires suppeten		nires suppetant
L017	turis ornetur	turis ornetur		turis ornetur
L018	et candellas	er candesta		et candellas
L019	debun	eS		debun
L020	antur etiam dus lumina	entur eriam -des tumina		antur etiam dus lumina
L021	consecrabonis uscqe	condecratonis ute		consecrabonis uscqe
L022	Instractionet	Instractones		Instractionet
L023	sus.	Se1		sus.
L024	aur	aa		aur
L025	tota	tota		tota
L026	1-			1-
L027	jueca	ueca		jueca
L028	apella pre-	Getne		apella pre-
L029	Martyrieun sanetorum 90	Martyriium Sancoorum To		Martyrieun sanetorum 90
L030	stolorum Petri et Pauli, quorum honsri le-	Itolorum Petri es Rauli quorum hondril		stolorum Petri et Pauli, quorum honsri le-
L031	eesia dicata est en primentions.	elesia dicata est en primentions		eesia dicata est en primentions.
L032	En ingreau (apelle cancas aliqua asfonatur	In ingretu Capelle canetis aliqua angonatur		En ingreau (apelle cancas aliqua asfonatur
L033	27o (apella Sancti faroti.	tro Capelta Sanca Farota		27o (apella Sancti faroti.
L034	lam de parolus	tem da. Jarolus		lam de parolus
L035	ularis huins	tataris puin		ularis huins
L036	sapelanus a	Japehann		sapelanus a
L037	aprle etectus à perlls.	asille ereltusa Ger		aprle etectus à perlls.
L038	F. Mquite sombrosis Lagnans preere-	 Equite Ambrosio taquano preene		F. Mquite sombrosis Lagnans preere-
L039	entirne legars parlls. n9. Raphactis	cutione legati per. n Bagaen		entirne legars parlls. n9. Raphactis
L040	fagrati, qui aygravaait hesedes sus	gaguani qui aggrauauit neredlo su		fagrati, qui aygravaait hesedes sus
