line	mccatmus	tridis	transkribus	correct
L001	en mancbes nei Ntany J. in on nibus, et pes	n manibes mer Astan 3. in omnibut , et e		en mancbes nei Ntany J. in on nibus, et pes
L002	herit per dichs Brouirators ii	Levit aer dicks Prouurators mes		herit per dichs Brouirators ii
L003	Macere mas.	Aacee mt		Macere mas.
L004	Et non un travenire.	Ee non con traçueneres		Et non un travenire.
L005	Surefe	Ddef		Surefe
L006	Ma in sata en feriori Lalitahinis Mei Atarie	Aedd in Sala enseriori Laltakiinis mei Astan		Ma in sata en feriori Lalitahinis Mei Atarie
L007	Perexzard.	Terengani		Perexzard.
L008	31			31
L009	SLesses arbles Botins fus Sorepr. et Baset	Lees Jawlus Bofuis tis Soses . el Ban		SLesses arbles Botins fus Sorepr. et Baset
L010	bannis Setirr suuradt lou Gerenzari	canns Petvi reprad locu Perensari		bannis Setirr suuradt lou Gerenzari
L011	fras	fra		fras
L012	290. lae sater Gosepf. Francus frouis Faleats lori Sererge	Ege Tresbiter Goseps . Franeus filuis Saleatij lori Sererge		290. lae sater Gosepf. Francus frouis Faleats lori Sererge
L013	ReLil.	L		ReLil.
L014	Epplane Nots Aam nocadis, et rogabes en signé	Haplane Notl Anja   nocadis , et rosahes cu sign		Epplane Nots Aam nocadis, et rogabes en signé
L015	Monatus confeug	Knatres confeid		Monatus confeug
